date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2017-03-20,11.264,11.264,11.264,11.264,111.0,125030.4,0.00991071428571,9.87890625,9.97869318182,0.0,0.326922969345,-0.11264,-0.11264,11.264,11.37664,50.0,50.0,50.0,-0.00980198019802,-1.77806089744,-0.355612179487,0.0
2017-03-21,12.388,12.388,12.388,12.388,50.0,61940.0,0.00446428571429,9.97869318182,10.0339037778,0.0,0.323686108262,0.0896638176638,-0.0721792364672,11.4369230769,11.3472592593,50.0,50.0,50.0,-0.00990099009901,-1.79602110852,-0.359204221704,0.0
2017-03-22,13.631,13.631,13.631,13.631,49.0,66791.9,0.004375,10.0339037778,9.9919301592,0.0,0.528363790709,0.258048132726,-0.00613376262855,11.7744733728,11.5164252401,50.0,50.0,50.0,0.632333848203,1.8779516582,-0.915020400204,0.0
2017-03-23,14.993,14.993,14.993,14.993,50.0,74965.0,0.00446428571429,9.9919301592,10.0113386247,0.0,0.802905250739,0.495682019083,0.0942293937138,12.2696313154,11.7739492963,50.0,50.0,50.0,0.519606878549,0.920889772952,-16.3624128321,0.0
2017-03-24,16.494,16.494,16.494,16.494,118.0,194629.2,0.0105357142857,10.0113386247,10.0036376864,0.0,1.12275538314,0.795951508176,0.234573816606,12.91953419,12.1235826818,50.0,50.0,50.0,0.398365974201,0.605770388139,1.48939112692,0.0
2017-03-27,18.144,18.144,18.144,18.144,118.0,214099.2,0.0105357142857,10.0036376864,10.0308641975,0.0,1.47069571833,1.15375864056,0.418410781398,13.7232981608,12.5695395202,50.0,50.0,50.0,0.309898612304,0.449533833044,0.783706244163,0.0
2017-03-28,19.964,19.964,19.964,19.964,185.0,369334.0,0.0165178571429,10.0308641975,10.008014426,0.0,1.83634883378,1.56612880251,0.647954385621,14.683406136,13.1172773335,50.0,50.0,50.0,0.248625946819,0.357414581743,0.548608244406,0.0
2017-03-29,21.962,21.962,21.962,21.962,121.0,265740.2,0.0108035714286,10.008014426,10.0036426555,0.0,2.2124695141,2.03074783193,0.924513074883,15.8031898074,13.7724419755,50.0,50.0,50.0,0.204819843264,0.296667188978,0.426818145535,0.0
2017-03-30,24.159,24.159,24.159,24.159,470.0,1135473.0,0.0419642857143,10.0036426555,10.0004139244,0.0,2.59579095834,2.54688242385,1.24898694468,17.0886990678,14.541816644,50.0,50.0,50.0,0.173255017438,0.254159863573,0.350967313073,0.0
2017-03-31,26.575,26.575,26.575,26.575,991.0,2633582.5,0.0884821428571,10.0004139244,9.99059266228,0.0,2.98556716249,3.11496642123,1.62218283999,18.5481299804,15.4331635592,50.0,50.0,50.0,0.150157008172,0.223050735308,0.298798876083,0.0
2017-04-05,29.23,29.23,29.23,29.23,2774.0,8108402.0,0.247678571429,9.99059266228,10.0,0.0,3.38265650422,3.73634315512,2.04501490301,20.1914945988,16.4551514437,50.0,50.0,50.0,0.133002984061,0.19948103763,0.260656229744,0.0
2017-04-06,32.153,32.153,32.153,32.153,3006.0,9665191.8,0.268392857143,10.0,9.98662644232,0.0,3.79001000884,4.41377115854,2.51876615412,22.031726199,17.6179550405,50.0,50.0,50.0,0.120424141238,0.181307758761,0.231661515232,0.0
2017-04-07,35.364,35.364,35.364,35.364,1663.0,5881033.2,0.148482142857,9.98662644232,6.52358330506,0.0,4.21056352299,5.15036835599,3.04508659449,24.0828452453,18.9324768893,50.0,50.0,50.0,0.110963694865,0.166886132288,0.208959628711,0.0
2017-04-10,37.78,38.864,37.671,36.458,304739.0,1147982286.9,27.2088392857,6.52358330506,-4.98792174352,6.38687584614,4.49236537509,5.85281495393,3.60663226638,26.1733305922,20.3205156383,50.1385425326,50.0461808442,50.3232659093,0.0669273484555,0.136387642472,0.184410411481,0.00277085065115
2017-04-11,34.4,35.98,35.792,33.903,209876.0,751188179.2,18.7389285714,-4.98792174352,-10.0022351363,5.80297273134,4.12790736385,6.18657436879,4.12262068686,27.6531258857,21.4665515169,63.7418561515,54.6114059466,82.0027565613,-0.0811283101015,0.0570254514262,0.143066545844,0.271314500419
2017-04-12,34.907,34.996,32.212,32.212,151044.0,486542932.8,13.4860714286,-10.0022351363,0.12417732522,8.64274183534,3.15097565341,6.09198047024,4.51649264354,28.3544911341,22.2625106638,42.4945707677,50.572460887,26.3387905291,-0.23666512456,-0.0152901901607,0.0955392180348,-0.333333333333
