date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2017-04-05,14.443,14.443,14.443,14.443,221.0,319190.3,0.00837121212121,9.89794364052,9.99792286921,0.0,0.419547347236,-0.14443,-0.14443,14.443,14.58743,50.0,50.0,50.0,-0.00980198019802,-1.77957954967,-0.355915909934,0.0
2017-04-06,15.887,15.887,15.887,15.887,103.0,163636.1,0.00390151515152,9.99792286921,9.9892994272,0.0,0.415393413105,0.115190883191,-0.0925058233618,14.6651538462,14.549962963,50.0,50.0,50.0,-0.00990099009901,-1.79755510068,-0.359511020136,0.0
2017-04-07,17.474,17.474,17.474,17.474,96.0,167750.4,0.00363636363636,9.9892994272,9.9919880966,0.0,0.677170476785,0.330725724629,-0.00785951376369,15.0972840237,14.766558299,50.0,50.0,50.0,0.630190694943,1.87111024299,-0.915037632464,0.0
2017-04-10,19.22,19.22,19.22,19.22,196.0,376712.0,0.00742424242424,9.9919880966,9.98959417274,0.0,1.0287434629,0.635105150546,0.120733419098,15.73154802,15.0964428695,50.0,50.0,50.0,0.519179435848,0.920337921275,-16.3614361815,0.0
2017-04-11,21.14,21.14,21.14,21.14,324.0,684936.0,0.0122727272727,9.98959417274,10.0094607379,0.0,1.43803258923,1.01950378737,0.300487492753,16.5636175554,15.544113768,50.0,50.0,50.0,0.397853440727,0.605251959448,1.48885101571,0.0
2017-04-12,23.256,23.256,23.256,23.256,433.0,1006984.8,0.0164015151515,10.0094607379,10.0103199174,0.0,1.88378041886,1.47785025454,0.53596004511,17.5932148546,16.1153646,50.0,50.0,50.0,0.309970603562,0.449577993578,0.78363511972,0.0
2017-04-13,25.584,25.584,25.584,25.584,1245.0,3185208.0,0.0471590909091,10.0103199174,10.0140712946,0.0,2.35177819243,2.00582141538,0.829932319164,18.8225664154,16.816745,50.0,50.0,50.0,0.248435416825,0.357256196435,0.548496621596,0.0
2017-04-14,28.146,28.146,28.146,28.146,3056.0,8601417.6,0.115757575758,10.0140712946,-9.99076245292,0.0,2.83369507163,2.60099173894,1.18414420312,20.256940813,17.6559490741,50.0,50.0,50.0,0.204915957108,0.29672149225,0.426796108279,0.0
2017-04-17,28.72,29.113,25.334,25.334,295452.0,748498096.8,11.1913636364,-9.99076245292,-6.20509986579,14.9167127181,2.60670248248,2.81333325467,1.50998201343,21.0380268418,18.2246935871,33.3333333333,44.4444444444,11.1111111111,-0.0801048042977,0.0816386736472,0.275167339799,-0.333333333333
2017-04-18,25.848,25.924,23.762,23.203,220340.0,523571908.0,8.34621212121,-6.20509986579,1.94007238448,11.4510563084,2.09960510306,2.82223520284,1.77243265131,21.4570996354,18.6348644325,29.0701947813,39.3196945567,8.57119523051,-0.194535963667,0.00316419967544,0.173810439825,-0.12789415656
2017-04-19,23.732,24.684,24.223,23.407,173237.0,419631985.1,6.56200757576,1.94007238448,-8.33092515378,5.27184906907,1.69822354654,2.8338223679,1.98471059463,21.8826227684,19.0488004005,40.6800515457,39.7731468864,42.4938608643,-0.191170023321,0.00410566952303,0.119766436914,0.399373201717
2017-04-20,23.657,23.8,22.205,21.843,169243.0,375804081.5,6.41071969697,-8.33092515378,-2.95879306463,8.81333033101,1.06386513202,2.64962630214,2.11769373613,21.9322192656,19.2825929634,33.2859345512,37.6107427746,24.6363181042,-0.373542350069,-0.0649991572663,0.0670037948419,-0.181762724323
2017-04-21,21.918,22.221,21.548,21.314,105280.0,226857344.0,3.98787878788,-2.95879306463,0.909597178392,4.20920735103,0.488022369818,2.42270771727,2.17869653236,21.8731086093,19.4504008921,30.7904025269,35.3372960254,21.69661553,-0.541274213124,-0.085641731701,0.0288062410472,-0.0749725689805
2017-04-24,21.729,22.651,21.744,21.389,120834.0,262741449.6,4.57704545455,0.909597178392,0.24374540103,5.80389992642,0.0868033467491,2.23294862408,2.1895469507,21.8532457463,19.6202971223,29.9035858368,33.5260592959,22.6586389186,-0.82213244286,-0.0783252110184,0.00498023390705,-0.0288017244788
2017-04-25,21.586,22.591,21.797,21.457,109104.0,237813988.8,4.13272727273,0.24374540103,2.60127540487,5.20255080974,-0.202382029718,2.06305818213,2.16424919699,21.8445925546,19.7815343725,29.9298449964,32.327321196,25.1348925971,-3.33150030842,-0.076083453115,-0.0115538758859,0.000878127452276
2017-04-26,21.578,22.5,22.364,21.2,115426.0,258138706.4,4.3721969697,2.60127540487,6.59094974065,5.81291361116,-0.340121483668,1.95167326969,2.12173401153,21.9245013924,19.9728281227,49.7993838438,38.1513420786,73.095467374,0.680591325932,-0.0539901944592,-0.019644311532,0.663870422641
2017-04-27,22.107,24.601,23.838,21.979,216956.0,517179712.8,8.21803030303,6.59094974065,-0.729927007299,10.9992449031,-0.259176589775,1.95974864292,2.08933693781,22.2188857935,20.2591371506,56.8329479884,44.3785440485,81.7417558681,-0.237988182988,0.00413766656045,-0.0152691494531,0.141237975287
2017-04-28,23.354,24.163,23.664,22.508,148490.0,351386736.0,5.62462121212,-0.729927007299,2.10868830291,6.99374577417,-0.255160152434,1.92986184254,2.05744191875,22.4412110561,20.5113492135,61.1716128583,49.9762336518,83.5623712714,-0.0154969140686,-0.0152503232963,-0.0152656177551,0.0763406619488
2017-05-02,23.664,24.594,24.163,23.581,130208.0,314621590.4,4.93212121212,2.10868830291,-2.69006331995,4.19236022017,-0.213091392492,1.92425979845,2.03080549469,22.7061016628,20.7818418644,59.9321117641,53.2948596892,73.2066159137,-0.164871981541,-0.00290282131448,-0.0129463795885,-0.0202626845419
2017-05-03,23.883,24.616,23.513,22.893,147357.0,346480514.1,5.58170454545,-2.69006331995,0.225407221537,7.32786118318,-0.295544800916,1.84608999412,1.99386239458,22.8302398685,20.9841498744,51.9493242675,52.846347882,50.1552770386,0.386939178819,-0.0406233110466,-0.0181913532395,-0.133197166953
