date,open,high,close,low,volume,turnover_rate,p_change,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2015-06-16,14.4,14.45,13.88,13.51,200278.0,2.1489055794,0.0071325648415,0.237191968091,-0.1388,-0.1388,13.88,14.0188,46.4539007092,48.8179669031,41.7257683215,-0.00980198019802,-1.04689795315,-0.20937959063,0.317868091603
2015-06-17,13.6,14.09,13.98,12.84,198263.0,2.12728540773,0.00720461095101,0.234843532764,0.00797720797721,-0.109444558405,13.8953846154,13.8874074074,61.3692671395,53.0017336485,78.1043341214,-0.00990099009901,-1.05747267995,-0.21149453599,0.321078880407
2015-06-18,14.05,14.64,13.7,13.68,184949.0,1.98443133047,-0.0200286123033,0.16199139994,-0.00819993344209,-0.0891956334121,13.8653254438,13.8735253772,41.6072892041,49.2035855004,26.4146966115,-0.310215622999,-2.02792022792,-0.185015365658,-0.322017499255
2015-06-19,13.05,13.59,12.33,12.33,135207.0,1.45071888412,-0.1,-0.0653968021292,-0.130068634743,-0.0973702336782,13.6291215294,13.7591901641,27.7381928027,42.0484546012,-0.882330794151,-1.40370539518,14.8621573774,0.0916479871652,-0.333333333333
2015-06-23,12.11,12.5,12.24,11.1,141342.0,1.51654506438,-0.00729927007299,-0.214202881333,-0.231247034511,-0.124145593845,13.4154105248,13.6466575594,45.634985678,43.2439649601,50.4170271138,2.2754335741,0.777884691175,0.27498506633,0.645203997339
2015-06-24,12.31,12.69,12.61,12.0,140167.0,1.50393776824,0.0302287581699,-0.246754085343,-0.278366897184,-0.154989854513,13.2915012133,13.5698681105,59.8919228192,48.7932842465,82.0891999645,0.151964361114,0.203764181334,0.248452318867,0.312412438162
2015-06-25,12.66,13.4,12.96,12.45,248317.0,2.66434549356,0.0277557494052,-0.20672290199,-0.284191668257,-0.180830217262,13.2405010267,13.5246926949,57.8226853882,51.803084627,69.8618869105,-0.162231086457,0.0209247979239,0.166722930543,-0.0345495241019
2015-06-26,12.66,12.88,12.6,11.66,348484.0,3.73909871245,-0.0277777777778,-0.213446904484,-0.314234532564,-0.207511080322,13.1419624072,13.4561969397,64.2315170348,55.9458954296,80.8027602451,0.0325266452282,0.105713388755,0.147546485673,0.110835939278
2015-06-29,12.8,13.39,11.62,11.34,519724.0,5.57643776824,-0.0777777777778,-0.327771082809,-0.412368007077,-0.248482465673,12.9078143445,13.3201823516,47.373856885,53.0885492481,35.9444721588,0.535609446299,0.312293730778,0.197441916294,-0.262451533578
2015-06-30,11.15,12.32,12.12,10.46,328375.0,3.52333690987,0.0430292598967,-0.313896562944,-0.444667817513,-0.287719536041,12.7866121377,13.2312799552,61.3316751993,55.8362578985,72.3225098009,-0.0423299082574,0.0783276342521,0.157906797414,0.294631242464
2015-07-01,12.0,12.28,10.91,10.91,197808.0,2.12240343348,-0.0998349834983,-0.437937884428,-0.561430713809,-0.342461771595,12.497902578,13.0593332918,40.8877834662,50.8534330877,20.9564842232,0.395166230305,0.262584544455,0.190262490711,-0.333333333333
2015-07-02,10.62,11.05,9.82,9.82,149797.0,1.6072639485,-0.0999083409716,-0.625605344015,-0.733465111604,-0.420662439596,12.085917566,12.8193826776,27.2585223108,42.9884628287,-4.20135872509,0.428525291507,0.306421422205,0.228348605562,-0.333333333333
2015-07-03,8.84,9.6,8.84,8.84,161482.0,1.73263948498,-0.0997963340122,-0.827848828817,-0.938067957607,-0.524143543199,11.5865456328,12.5246135904,18.1723482072,34.7164246216,-14.9158046215,0.323276466126,0.278953753582,0.245995586631,-0.333333333333
2015-07-06,9.66,9.66,7.96,7.96,232210.0,2.49152360515,-0.0995475113122,-1.01397597847,-1.15787852975,-0.650890540508,11.0286155354,12.1864940652,12.1148988048,27.1825826826,-18.0204689509,0.224832292055,0.234322652592,0.241817339838,-0.333333333333
2015-07-07,7.9,7.9,7.16,7.16,61541.0,0.660311158798,-0.100502512563,-1.16772274617,-1.38071725687,-0.796855883779,10.4334439146,11.8141611715,8.0765992032,20.8139215228,-17.3980454361,0.151627623297,0.192454321758,0.224254823488,-0.333333333333
2015-07-13,7.88,7.88,7.88,7.88,15368.0,0.164892703863,0.100558659218,-1.0964472838,-1.48213543615,-0.933911794254,10.0406063893,11.5227418254,8.0765992032,16.5681474163,-8.90649722297,-0.0610380011912,0.0734532568379,0.171995856798,0.0
2015-07-14,8.67,8.67,8.67,8.67,43938.0,0.47143776824,0.100253807107,-0.876435126458,-1.48168374829,-1.04346618506,9.82974386785,11.3114276161,8.0765992032,13.7376313453,-3.24546508091,-0.200659129347,-0.00030475478324,0.117306999956,0.0
2015-07-15,9.0,9.0,7.8,7.8,279676.0,3.00081545064,-0.100346020761,-0.784608161995,-1.53384628631,-1.14154220531,9.51747558049,11.0513218668,5.3843994688,10.9532207198,-5.75324303314,-0.104773258956,0.0352049066329,0.093990607126,-0.333333333333
2015-07-16,7.04,8.01,7.52,7.02,264083.0,2.83350858369,-0.0358974358974,-0.700845790268,-1.57957082423,-1.22914792909,9.21017164503,10.7897424693,20.4246164809,14.1103526401,33.0531441624,-0.106756946697,0.0298103782156,0.0767433068842,2.79329516676
2015-07-17,7.37,8.2,8.01,7.37,228401.0,2.45065450644,0.0651595744681,-0.526652539364,-1.5583057662,-1.29497949651,9.02552985349,10.5838356197,39.3192222322,22.5133091708,72.931048355,-0.248547188729,-0.0134625543251,0.0535587018146,0.925089867368
2015-07-20,8.01,8.54,8.34,7.91,257789.0,2.76597639485,0.0411985018727,-0.324131768136,-1.4975618516,-1.33549596753,8.92006372218,10.4176255738,48.9641375728,31.3302519715,84.2319087754,-0.384543424916,-0.0389807417224,0.0312873455727,0.245297714273
2015-07-21,8.21,8.68,8.61,8.03,265249.0,2.8460193133,0.0323741007194,-0.121391687236,-1.41136577205,-1.35066992844,8.87236161108,10.2837273831,62.3863481255,41.6822840228,103.794476331,-0.625486610171,-0.0575576090253,0.0113620417234,0.274123291413
2015-07-22,8.35,8.59,8.48,8.12,213960.0,2.29570815451,-0.0150987224158,0.0200804278214,-1.33811966105,-1.34815987496,8.8119982863,10.1501179473,67.1228136439,50.1624605632,101.043519805,-1.16541847534,-0.0518973270124,-0.00185837666541,0.0759215062394
2015-07-23,8.53,9.11,8.9,8.44,284295.0,3.05037553648,0.0495283018868,0.185888429646,-1.23197960643,-1.32492382125,8.82553701148,10.0575166179,67.6341145686,55.9863452317,90.9296532425,8.25719468226,-0.0793203012464,-0.0172353844209,0.00761739410051
