,ts_code,volume_d,MACD_d,close_ama_p_change,pseudo_mean_price_p_change,ema5_p_change,backward_inference_MACD_hit,ema3_p_change,p_change,ema_slow,ema_quick,DEM,DIFF,MACD,close_ama_dist2last_max,close_ama_dist2last_min,close_ama_stationary_info,close_ama_VT,close_ama_PVT,date,close_ama,pseudo_mean_price_dist2last_max,pseudo_mean_price_dist2last_min,pseudo_mean_price_stationary_info,pseudo_mean_price_VT,pseudo_mean_price_PVT,open,pseudo_mean_price,ema5_dist2last_max,ema5_dist2last_min,ema5_stationary_info,ema5_VT,ema5_PVT,high,ema5,ema3_dist2last_max,ema3_dist2last_min,ema3_stationary_info,ema3_VT,ema3_PVT,low,ema3,dist2last_max,dist2last_min,stationary_info,VT,PVT,dist2last_big_drop,efficiency_coefficient,amplitude,review_pc,close,turnover_rate,nmc,pre_close,change,pct_chg,volume,amount,diff
336,601865.SH,0.0,0.0,4.5066045066,10.1398601399,3.37995337995,0,5.06993006993,10.1398601399,2.86286,2.86,-0.00286,-0.00286,0.0281526584641,1,1,0,1124.48,5067.58663559,20190215,2.86,1,1,0,1124.48,11402.0699301,2.86,2.86,1,1,0,1124.48,3800.68997669,2.86,2.86,1,1,0,1124.48,5701.03496503,2.86,2.86,1,1,0,1124.48,11402.0699301,0,1.0,0.0,10.1398601399,2.86,0.0749653333333,303000.0,1.99,0.87,43.72,1124.48,323.85,-0.00286
335,601865.SH,-580.94,0.0134375865501,4.5066045066,10.1398601399,3.37995337995,1,5.06993006993,10.1398601399,2.88148148148,2.90461538462,0.00233878062678,0.0231339031339,0.0415902450142,2,2,0,1668.02,7517.10644911,20190218,2.98888888889,2,2,0,1668.02,16913.4895105,3.15,3.15,2,2,0,1668.02,5637.82983683,3.15,2.95666666667,2,2,0,1668.02,8456.74475524,3.15,3.005,2,2,0,1668.02,16913.4895105,1,1.0,0.0,10.1587301587,3.15,0.036236,303000.0,2.86,0.29,10.14,543.54,172.302,0.0231339031339
334,601865.SH,510.22,0.0611032056948,7.15406856671,10.1587301587,5.78729800827,0,7.73710482529,10.1587301587,2.92507544582,2.99159763314,0.0151754619654,0.0665221873199,0.102693450709,3,3,0,2721.78,15055.777742,20190219,3.20271604938,3,3,0,2721.78,27618.3530026,3.47,3.47,3,3,0,2721.78,11736.252986,3.47,3.12777777778,3,3,0,2721.78,16609.7963359,3.47,3.2375,3,3,0,2721.78,27618.3530026,2,1.0,0.0,9.79827089337,3.47,0.0702506666667,303000.0,3.15,0.32,10.16,1053.76,367.762,0.0665221873199
333,601865.SH,-227.76,0.0760342530006,8.42734647376,9.79827089337,7.27057430432,0,8.8416988417,9.79827089337,2.99062541279,3.11750568958,0.0375164249291,0.126880276784,0.17872770371,4,4,0,3547.78,22016.7659293,20190220,3.47262002743,4,4,0,3547.78,35711.7247605,3.81,3.81,4,4,0,3547.78,17741.7473614,3.81,3.35518518519,4,4,0,3547.78,23913.0395792,3.81,3.52375,4,4,0,3547.78,35711.7247605,3,1.0,0.0,9.97375328084,3.81,0.0550666666667,303000.0,3.47,0.34,9.8,826.0,317.184,0.126880276784
332,601865.SH,3379.55,0.0861049595223,9.18141175376,9.97375328084,8.29377782684,0,9.45370698829,9.97375328084,3.07946797481,3.28250481426,0.0706205078331,0.203036839449,0.264832663232,5,5,0,7753.33,60629.6521303,20190221,3.7914555708,5,5,0,7753.33,77656.8428707,4.19,4.19,5,5,0,7753.33,52621.6447011,4.19,3.63345679012,5,5,0,7753.33,63671.0770038,4.19,3.856875,5,5,0,7753.33,77656.8428707,4,1.0,0.0,10.0238663484,4.19,0.28037,303000.0,3.81,0.38,9.97,4205.55,1774.742,0.203036839449
331,601865.SH,-135.17,0.092405124904,9.59519417535,10.0238663484,8.95880760649,0,9.76340949603,10.0238663484,3.19284071741,3.48673484283,0.11527523135,0.293894125418,0.357237788136,6,6,0,11823.71,99685.7385978,20190222,4.15525309489,6,6,0,11823.71,118457.787978,4.61,4.61,6,6,0,11823.71,89087.3960064,4.61,3.95897119342,6,6,0,11823.71,103411.863748,4.61,4.2334375,6,6,0,11823.71,118457.787978,5,1.0,0.0,9.76138828633,4.61,0.271358666667,303000.0,4.19,0.42,10.02,4070.38,1888.656,0.293894125418
330,601865.SH,21.03,0.0945247598192,9.67714183524,9.76138828633,9.27032767516,0,9.7623089983,9.76138828633,3.33114881242,3.72877563624,0.171745549845,0.397626823822,0.451762547955,7,7,0,15915.12,139278.893474,20190225,4.55736283049,7,7,0,15915.12,158395.629627,5.06,5.06,7,7,0,15915.12,127016.10736,5.06,4.32598079561,7,7,0,15915.12,143353.472407,5.06,4.64671875,7,7,0,15915.12,158395.629627,6,1.0,0.0,10.0790513834,5.06,0.272760666667,303000.0,4.61,0.45,9.76,4091.41,2086.619,0.397626823822
329,601865.SH,-697.75,0.0975266232446,9.8754692344,10.0790513834,9.58564283389,0,9.93476579576,10.0790513834,3.49698964113,4.01204092298,0.240406696244,0.515051281844,0.5492891712,8,8,0,19308.78,172792.878396,20190226,5.00742379472,8,8,0,19308.78,192600.503144,5.57,5.57,8,8,0,19308.78,159546.520019,5.57,4.74065386374,8,8,0,19308.78,177068.689697,5.57,5.108359375,8,8,0,19308.78,192600.503144,7,1.0,0.0,10.0538599641,5.57,0.226244,303000.0,5.06,0.51,10.08,3393.66,1903.843,0.515051281844
328,601865.SH,1308.19,0.0994254515891,9.9636615225,10.0538599641,9.76901904388,0,9.9996941288,10.0538599641,3.69202744549,4.33788078098,0.321496024093,0.645853335487,0.648714622789,9,9,0,24010.63,219640.520326,20190227,5.50634655262,9,9,0,24010.63,239872.244617,6.13,6.13,9,9,0,24010.63,205478.982211,6.13,5.20376924249,9,9,0,24010.63,224085.751537,6.13,5.6191796875,9,9,0,24010.63,239872.244617,8,1.0,0.0,9.95106035889,6.13,0.313456666667,303000.0,5.57,0.56,10.05,4701.85,2901.041,0.645853335487
327,601865.SH,-1141.41,0.100306768479,9.95742668605,9.95106035889,9.84050013185,0,9.97316667941,9.95106035889,3.91780319027,4.70743758391,0.415123698002,0.789634393635,0.749021391268,10,10,0,27571.07,255093.340596,20190228,6.05463697368,10,10,0,27571.07,275302.397961,6.74,6.74,10,10,0,27571.07,240515.4925,6.74,5.71584616166,10,10,0,27571.07,259594.613109,6.74,6.17958984375,10,10,0,27571.07,275302.397961,9,1.0,0.0,10.0890207715,6.74,0.237362666667,303000.0,6.13,0.61,9.95,3560.44,2417.539,0.789634393635
