,ts_code,volume_d,MACD_d,close_ama_p_change,pseudo_mean_price_p_change,ema5_p_change,backward_inference_MACD_hit,ema3_p_change,p_change,ema_slow,ema_quick,DEM,DIFF,MACD,close_ama_dist2last_max,close_ama_dist2last_min,close_ama_stationary_info,close_ama_VT,close_ama_PVT,date,close_ama,pseudo_mean_price_dist2last_max,pseudo_mean_price_dist2last_min,pseudo_mean_price_stationary_info,pseudo_mean_price_VT,pseudo_mean_price_PVT,open,pseudo_mean_price,ema5_dist2last_max,ema5_dist2last_min,ema5_stationary_info,ema5_VT,ema5_PVT,high,ema5,ema3_dist2last_max,ema3_dist2last_min,ema3_stationary_info,ema3_VT,ema3_PVT,low,ema3,dist2last_max,dist2last_min,stationary_info,VT,PVT,dist2last_big_drop,efficiency_coefficient,amplitude,review_pc,close,turnover_rate,nmc,pre_close,change,pct_chg,volume,amount,diff
326,601865.SH,4698.21,0.102828215951,10.0225333796,10.0890207715,9.93818348814,0,10.0363469713,10.0890207715,4.17722517618,5.12475487869,0.521604898904,0.947529702513,0.851849607219,11,11,0,35829.72,337865.935891,20190301,6.66146498538,11,11,0,35829.72,358624.089356,7.42,7.42,11,11,0,35829.72,322591.471565,7.42,6.28389744111,11,11,0,35829.72,342481.290024,7.42,6.79979492187,11,11,0,35829.72,358624.089356,10,1.0,0.0,9.9730458221,7.42,0.550576666667,303000.0,6.74,0.68,10.09,8258.65,6169.212,0.947529702513
325,601865.SH,-2847.22,0.104734767474,9.99803441911,9.9730458221,9.95190525452,0,10.0018095674,9.9730458221,4.4722455335,5.59171566658,0.641177945741,1.11947013309,0.956584374693,12,12,0,41241.15,391969.599287,20190304,7.32748054743,12,12,0,41241.15,412592.528709,8.16,8.16,12,12,0,41241.15,376445.510216,8.16,6.90926496074,12,12,0,41241.15,396605.382371,8.16,7.47989746094,12,12,0,41241.15,412592.528709,11,1.0,0.0,10.0490196078,8.16,0.360762,303000.0,7.42,0.74,9.97,5411.43,4448.195,1.11947013309
324,601865.SH,36963.37,0.10846996438,10.0232690524,10.0490196078,9.99013667893,0,10.0275608516,10.0490196078,4.80615327176,6.11299017942,0.774309738125,1.30683690766,1.06505433907,13,13,0,83615.95,816703.620728,20190305,8.06193363746,13,13,0,83615.95,838417.724787,8.98,8.98,13,13,0,83615.95,799775.553958,8.98,7.59950997383,13,13,0,83615.95,821521.267945,8.98,8.22994873047,13,13,0,83615.95,838417.724787,12,1.0,0.0,9.91091314031,8.98,2.82498666667,303000.0,8.16,0.82,10.05,42374.8,38306.819,1.30683690766
323,601865.SH,-29925.68,0.111631937324,9.96764654924,9.91091314031,9.9589317118,0,9.96392154583,9.91091314031,5.1812530294,6.69099169028,0.921395522674,1.50973866087,1.1766862764,14,14,0,96065.07,940792.048738,20190306,8.86551868748,14,14,0,96065.07,961799.87178,9.87,9.87,14,14,0,96065.07,923755.48991,9.87,8.35633998255,14,14,0,96065.07,945563.32294,9.87,9.04997436523,14,14,0,96065.07,961799.87178,13,1.0,0.0,9.92907801418,9.87,0.829941333333,303000.0,8.98,0.89,9.91,12449.12,12374.425,1.50973866087
322,601865.SH,-7817.87,0.116567143534,9.94856280321,9.92907801418,9.94717792182,0,9.94492117945,9.92907801418,5.60116021241,7.33083912254,1.08305220017,1.72967891013,1.29325341993,15,15,0,100696.32,986866.33022,20190307,9.74751038193,15,15,0,100696.32,1007783.91433,10.85,10.85,15,15,0,100696.32,969823.357661,10.85,9.18755998837,15,15,0,100696.32,991620.739152,10.85,9.94998718262,15,15,0,100696.32,1007783.91433,14,1.0,0.0,10.0460829493,10.85,0.30875,303000.0,9.87,0.98,9.93,4631.25,5061.956,1.72967891013
321,601865.SH,62788.28,0.124642092791,9.99680730844,10.0460829493,9.98611171017,0,10.0000772909,10.0460829493,6.07070390038,8.039940796,1.26028913926,1.96923689562,1.41789551272,16,16,0,168115.85,1660846.38046,20190308,10.7219502122,16,16,0,168115.85,1685086.10512,11.94,11.94,16,16,0,168115.85,1643082.31569,11.94,10.1050399922,16,16,0,168115.85,1665821.25006,11.94,10.9449935913,16,16,0,168115.85,1685086.10512,15,1.0,0.0,9.96649916248,11.94,4.49463533333,303000.0,10.85,1.09,10.05,67419.53,81038.275,1.96923689562
320,601865.SH,-12320.18,0.132701232162,9.9818067512,9.96649916248,9.97838705595,0,9.98176193738,9.96649916248,6.59361472257,8.82302682738,1.45411373237,2.22941210481,1.55059674488,17,17,0,223215.2,2210837.44427,20190311,11.7921945623,17,17,0,223215.2,2234233.73075,13.13,13.13,17,17,0,223215.2,2192884.95652,13.13,11.1133599948,17,17,0,223215.2,2215809.84467,13.13,12.0374967957,17,17,0,223215.2,2234233.73075,16,1.0,0.0,9.97715156131,13.13,3.67329,303000.0,11.94,1.19,9.97,55099.35,72841.341,2.22941210481
319,601865.SH,-40897.21,0.142578242401,9.97950305624,9.97715156131,9.97790049309,0,9.97924753431,9.97715156131,7.17482844683,9.68717654625,1.66576060578,2.51234809942,1.69317498728,18,18,0,237417.34,2352567.74381,20190312,12.9689969791,18,18,0,237417.34,2375930.63402,14.44,14.44,18,18,0,237417.34,2334592.49623,14.44,12.2222399966,18,18,0,237417.34,2357536.51525,14.44,13.2387483978,18,18,0,237417.34,2375930.63402,17,1.0,0.0,4.08587257618,14.44,0.946809333333,303000.0,13.13,1.31,9.98,14202.14,20649.912,2.51234809942
318,601865.SH,729476.63,0.0455382498152,7.06300837385,4.7783933518,7.65751614608,-1,6.76518485111,4.08587257618,7.75669300632,10.5091493853,1.88309976041,2.75245637896,1.7387132371,19,19,0,981096.11,7605177.12377,20190313,13.8849983217,19,19,0,981096.11,5929520.32446,15.88,15.13,19,19,0,981096.11,8029324.685,15.88,13.1581599977,19,19,0,981096.11,7388660.86414,14.48,14.1343741989,19,19,0,981096.11,5414507.32585,18,1.0,9.31470392548,4.39121756487,15.03,49.5785846667,303000.0,14.44,0.59,4.09,743678.77,1133191.631,2.75245637896
317,601865.SH,360275.87,-0.0127001341023,5.77762380336,4.8909451421,6.41386537008,-1,5.50298789035,4.39121756487,8.34434537622,11.306203326,2.09885139829,2.96185794979,1.726013103,20,20,0,2085050.75,13983411.7297,20190314,14.6872212898,20,20,0,2085050.75,11328901.9081,16.04,15.87,20,20,0,2085050.75,15109941.1206,16.53,14.0021066651,20,20,0,2085050.75,13463709.8796,15.39,14.9121870995,20,20,0,2085050.75,10262212.3318,19,1.0,7.26577437859,10.0063734863,15.69,73.596976,303000.0,15.03,0.66,4.39,1103954.64,1792960.961,2.96185794979
316,601865.SH,-12224.39,0.0636771522887,7.78538827701,2.1634110481,7.75572184191,1,7.87212796112,10.0063734863,9.00476423724,12.2221720451,2.3225626802,3.21740780784,1.78969025528,21,21,0,3176781.0,22482955.6197,20190315,15.8306784944,21,21,0,3176781.0,13690763.1925,15.0,16.2133333333,21,21,0,3176781.0,23577097.266,17.26,15.0880711101,21,21,0,3176781.0,22057950.1066,14.12,16.0860935497,21,21,1,3176781.0,21186472.9596,20,1.0,18.1923522596,-3.65005793743,17.26,72.7820166667,303000.0,15.69,1.57,10.01,1091730.25,1645015.887,3.21740780784
315,601865.SH,-43655.91,-0.176665892727,1.90302041062,5.40707236842,3.40650765023,-1,1.69061073961,-3.65005793743,9.56959651597,12.9002994228,2.52419072552,3.3307029068,1.61302436256,22,22,0,4224855.34,24477462.4805,20190318,16.1319395372,22,22,1,4224855.34,19357776.9963,16.65,17.09,22,22,0,4224855.34,27147370.5233,18.25,15.6020474067,22,22,0,4224855.34,23829835.8417,16.39,16.3580467749,1,22,-1,2128706.66,17360940.8959,21,0.910987511614,11.1846061335,0.0,16.63,69.8716226667,303000.0,17.26,-0.63,-3.65,1048074.34,1837990.762,3.3307029068
314,601865.SH,-310291.16,-0.241313291494,1.13588037096,-2.63311878291,2.19619166313,0,0.83125213199,0.0,10.0925893666,13.4740995116,2.6956546094,3.38151014493,1.37171107106,23,23,0,4962638.52,25315495.9127,20190319,16.3151790719,1,23,-1,3487072.16,17415106.2474,16.49,16.64,23,23,0,4962638.52,28767683.7924,17.18,15.9446982712,23,23,0,4962638.52,24443119.683,16.11,16.4940233874,2,1,0,1390923.48,17360940.8959,22,0.898557718824,6.43415514131,2.34515935057,16.63,49.1855453333,303000.0,16.63,0.0,0.0,737783.18,1237390.625,3.38151014493
313,601865.SH,-23468.78,-0.222531616343,1.55256987128,0.721153846154,2.24798176498,0,1.5944460615,2.34515935057,10.605730895,14.0196226636,2.83930204124,3.4138917686,1.14917945472,24,24,0,5676952.92,26424518.9288,20190320,16.5684836266,2,1,0,4201386.56,17930236.8243,16.39,16.76,24,24,0,5676952.92,30373449.538,17.26,16.3031321808,24,24,1,5676952.92,25582055.4648,16.0,16.7570116937,3,2,1,2105237.88,19036121.9903,23,0.886639749782,7.40305522914,-2.17391304348,17.02,47.62096,303000.0,16.63,0.39,2.35,714314.4,1197809.415,3.4138917686
312,601865.SH,58516.74,-0.29871621261,0.146031149552,0.835322195704,0.709204864003,0,-0.3193042282,-2.17391304348,11.0534545324,14.4242961,2.94560994651,3.37084156756,0.850463242112,25,25,0,6449784.06,26537376.3486,20190321,16.5926787737,3,2,1,4974217.7,18575799.8291,16.5,16.9,25,25,0,6449784.06,30921545.1416,17.78,16.4187547872,1,25,0,4904121.78,25335287.2141,16.27,16.7035058469,1,3,-1,1332406.74,17356054.2946,24,0.794359757998,9.06906906907,0.18018018018,16.65,51.522076,303000.0,17.02,-0.37,-2.17,772831.14,1321066.378,3.37084156756
311,601865.SH,-131824.58,-0.281692290846,0.141811350614,-0.927021696252,0.530379670907,0,-0.0703620158353,0.18018018018,11.4702356782,14.7713274692,3.01670631541,3.30109179105,0.568770951266,26,26,1,7090790.62,26628278.3546,20190322,16.6162090756,1,3,0,4333211.14,17981572.8405,16.27,16.7433333333,26,26,1,7090790.62,31261521.9899,17.38,16.5058365248,2,26,0,4263115.22,25290184.7004,16.17,16.6917529234,2,1,1,1973413.3,17471550.9721,25,0.750986912831,7.25419664269,-10.0119904077,16.68,42.7337706667,303000.0,16.65,0.03,0.18,641006.56,1091221.109,3.30109179105
310,601865.SH,-10303.31,-0.474531652159,-0.683023766536,-8.10272745371,-3.0208234171,0,-5.03767618399,-10.0119904077,11.7324404428,14.8080463201,3.0284862278,3.07560587736,0.0942392991066,1,27,0,6460087.37,26197493.0452,20190325,16.5027164185,2,4,0,3702507.89,12871156.3016,15.9,15.3866666667,1,27,0,6460087.37,29356278.8431,16.14,16.0072243499,3,27,0,3632411.97,22112905.9587,15.01,15.8508764617,1,2,-1,1342710.05,11156956.083,26,0.32356628242,7.52831445703,2.46502331779,15.01,42.0468833333,303000.0,16.68,-1.67,-10.01,630703.25,981298.325,3.07560587736
309,601865.SH,-106563.56,-0.310362616628,-0.243569589218,-1.40814558059,-1.30612765034,0,-1.48533257089,2.46502331779,12.0026300396,14.8960391939,3.00147081311,2.89340915435,-0.216123317522,2,28,0,5935947.68,26069828.5562,20190326,16.4625208199,3,5,0,3178368.2,12133091.3135,14.7,15.17,2,28,0,5935947.68,28671685.5013,15.57,15.7981495666,4,28,0,3108272.28,21334384.2054,14.56,15.6154382309,2,1,1,1866849.74,12448972.6407,27,0.194299320913,6.56697009103,-2.40572171651,15.38,34.942646,303000.0,15.01,0.37,2.47,524139.69,801516.317,2.89340915435
308,601865.SH,-142854.29,-0.285152478119,-0.0748835613681,-0.747088551967,-1.66295755768,0,-1.93858866433,-2.40572171651,12.2253981848,14.9135716256,2.93881133866,2.68817344084,-0.501275795641,3,29,0,5554662.28,26041276.5476,20190327,16.450193098,4,6,0,2797082.8,11848237.3561,15.1,15.0566666667,3,29,0,5554662.28,28037624.0638,15.43,15.5354330444,5,29,0,2726986.88,20595228.6511,14.73,15.3127191154,1,2,0,1485564.34,11531706.0737,28,0.0304619147526,4.66355762825,-5.46302465023,15.01,25.4190266667,303000.0,15.38,-0.37,-2.41,381285.4,579250.512,2.68817344084
307,601865.SH,26462.04,-0.310696476108,-0.0482525045164,-3.5421740093,-2.88680515168,0,-3.66596914292,-5.46302465023,12.3709242452,14.802252914,2.83731480469,2.43132866881,-0.811972271748,4,30,0,5146914.84,26021601.7124,20190328,16.4422554679,5,7,0,2389335.36,10403924.9718,14.88,14.5233333333,4,30,0,5146914.84,26860536.6534,15.23,15.0869553629,6,30,0,2319239.44,19100439.118,14.15,14.7513595577,2,3,-1,1077816.9,9304171.75791,29,-0.225003785394,7.61099365751,2.18463706836,14.19,27.1831626667,303000.0,15.01,-0.82,-5.46,407747.44,604384.64,2.43132866881
306,601865.SH,-26914.39,-0.164341167218,-0.698307558568,-2.54762451228,-1.29682751048,0,-0.851987766724,2.18463706836,12.5286335604,14.7557524657,2.71527562482,2.22711890533,-0.976313438966,5,31,0,4766081.79,25755663.115,20190329,16.3274379551,6,8,-1,2008502.31,9433705.35852,13.97,14.1533333333,5,31,-1,4766081.79,26366661.8772,14.5,14.8913035753,7,31,-1,1938406.39,18775974.0182,13.46,14.6256797789,3,1,0,1458649.95,10136153.7558,30,-0.535293533666,7.1724137931,3.1724137931,14.5,25.38887,303000.0,14.19,0.31,2.18,380833.05,537533.495,2.22711890533
305,601865.SH,2055.15,-0.0426229444724,-0.111026495572,4.92227979275,0.153773026815,0,1.14292199131,3.1724137931,12.7087347781,14.7871751633,2.58790857689,2.07844038517,-1.01893638344,6,32,0,4383193.59,25713152.38,20190401,16.309310173,7,1,0,2391390.51,11318388.2083,14.4,14.85,6,1,0,5148969.99,26425539.7547,15.22,14.9142023835,8,1,0,2321294.59,19213585.3622,14.37,14.7928398894,4,2,0,1841538.15,11350833.5627,31,-0.319295303721,5.68181818182,8.08823529412,14.96,25.52588,303000.0,14.5,0.46,3.17,382888.2,571880.991,2.07844038517
304,601865.SH,325354.45,0.133950902505,-0.00206329271021,6.24017957351,2.80671533568,1,4.65481990228,8.08823529412,12.9651247946,14.9999174459,2.47728539177,2.0347926513,-0.884985480934,7,33,0,3674950.94,25711691.0681,20190402,16.3089736642,8,2,1,3099633.16,15737949.5259,14.94,15.7766666667,7,2,0,5857212.64,28413375.2618,16.45,15.332801589,9,2,0,3029537.24,22510327.3451,14.71,15.4814199447,5,3,1,2549780.8,17079266.7612,32,-0.0420625680582,10.7606679035,-4.01978973408,16.17,47.2161766667,303000.0,14.96,1.21,8.09,708242.65,1102699.673,2.0347926513
303,601865.SH,-156768.45,0.00221739285743,-0.00924731037938,-0.380308472428,0.406967180568,-1,0.124601152296,-4.01978973408,13.1543748098,15.0799301465,2.36693938076,1.92555533672,-0.882768088076,8,34,0,3123476.74,25706591.415,20190403,16.3074655227,1,3,-1,2548158.96,15528219.2153,15.59,15.7166666667,8,3,0,6408686.84,28637807.1622,16.34,15.3952010593,10,3,0,3581011.44,22579041.6658,15.29,15.5007099724,1,4,-1,1998306.6,14862456.4335,33,-0.198779135339,6.76546391753,4.38144329897,15.52,36.7649466667,303000.0,16.17,-0.65,-4.02,551474.2,877602.44,1.92555533672
302,601865.SH,95599.11,0.0913001345082,-0.00192837990326,3.16012725345,1.74253205605,0,2.25567096246,4.38144329897,13.3799766757,15.2522485855,2.26800588657,1.87227190978,-0.791467953568,9,35,0,2476403.43,25705343.6118,20190404,16.3071510528,2,1,1,3195232.27,17573053.2172,15.89,16.2133333333,9,4,1,7055760.15,29765353.1475,16.87,15.6634673729,11,4,1,4228084.75,24038626.1418,15.57,15.8503549862,2,1,1,2645379.91,17697571.4515,34,-0.0337151436134,8.02469135802,-6.6049382716,16.2,43.1382206667,303000.0,15.52,0.68,4.38,647073.31,1048072.782,1.87227190978
301,601865.SH,-13504.19,-0.07920854056,-0.00475785236545,-2.93996710526,-1.13526879712,-1,-2.27236231241,-6.6049382716,13.5096080331,15.2334411108,2.1591713248,1.72383307774,-0.870676494128,10,36,0,1842834.31,25702329.1835,20190408,16.3063751827,1,2,0,2561663.15,15710380.8455,16.21,15.7366666667,1,5,0,6422191.03,29046081.8947,17.03,15.4856449153,1,5,0,3594515.63,22598927.5512,15.05,15.4901774931,1,2,0,2011810.79,13512886.5231,35,-0.168323368006,13.0865829478,-6.80766688698,15.13,42.2379413333,303000.0,16.2,-1.07,-6.6,633569.12,1022615.937,1.72383307774
300,601865.SH,-213247.04,-0.174837971253,-0.00108740118841,-9.48951493328,-2.98264386759,0,-4.4872871654,-6.80766688698,13.5533407714,15.0590655553,2.02848201663,1.50572478394,-1.04551446538,11,37,0,1422512.23,25701872.1248,20190409,16.306197867,2,3,0,2141341.07,11721728.1906,14.53,14.2433333333,2,6,0,6001868.95,27792410.8204,14.65,15.0237632768,2,6,0,3174193.55,20712821.6763,13.98,14.7950887465,2,3,0,1591488.71,10651473.8172,36,-0.109872132346,4.75177304965,-1.13475177305,14.1,28.021472,303000.0,15.13,-1.03,-6.81,420322.08,601265.51,1.50572478394
299,601865.SH,-185322.47,-0.112185676408,-0.024615234307,-1.87222092207,-2.40455349939,0,-2.88977227914,-1.13475177305,13.5819821957,14.8869016237,1.8837694989,1.30491942801,-1.15770014179,12,38,0,1187512.62,25696087.5543,20190410,16.3021840581,3,4,0,1906341.46,11281757.004,13.71,13.9766666667,3,7,0,5766869.34,27227341.6858,14.28,14.6625088512,3,7,0,2939193.94,20033726.3177,13.71,14.3675443733,3,4,-1,1356489.1,10384807.5931,37,-0.194501886562,4.08895265423,0.573888091822,13.94,15.6666406667,303000.0,14.1,-0.16,-1.13,234999.61,331779.756,1.30491942801
298,601865.SH,12658.1,-0.0337643618056,-0.00028967057575,-0.620081087527,-1.4606614683,0,-1.20947729216,0.573888091822,13.614427959,14.7535321431,1.73483643595,1.13910418416,-1.1914645036,13,39,0,939854.91,25696015.8151,20190411,16.3021368355,4,5,0,1658683.75,11128189.1419,14.03,13.89,4,8,0,5519211.63,26865597.6115,14.19,14.4483392342,4,8,0,2691536.23,19734189.9412,13.46,14.1937721866,4,1,1,1604146.81,10526935.4037,38,-0.132676151458,5.20684736091,-2.28245363766,14.02,16.510514,303000.0,13.94,0.08,0.57,247657.71,343868.012,1.13910418416
297,601865.SH,-97142.37,-0.0311799598894,-0.0219699110401,-0.479961603072,-1.72647116974,1,-1.73939732209,-2.28245363766,13.6207666287,14.591450275,1.58200587802,0.970683646276,-1.22264446348,14,40,0,789339.57,25692709.0065,20190412,16.2985552706,5,6,0,1508168.41,11055947.558,14.03,13.8233333333,5,9,0,5368696.29,26605737.2164,14.15,14.1988928228,5,9,0,2541020.89,19472383.9619,13.62,13.9468860933,1,2,0,1453631.47,10183391.1184,39,-0.0623941188397,3.86861313869,-0.36496350365,13.7,10.034356,303000.0,14.02,-0.32,-2.28,150515.34,209820.235,0.970683646276
296,601865.SH,23764.69,0.00932259069267,-0.000416469050036,-0.337593441042,-1.2885812756,1,-1.06434544361,-0.36496350365,13.6229320636,14.4466117711,1.43034064392,0.823679707523,-1.21332187279,15,41,0,615059.54,25692636.4243,20190415,16.2984873921,6,7,0,1333888.38,10997111.763,13.82,13.7766666667,6,10,0,5194416.26,26381163.233,14.08,14.0159285485,6,10,0,2366740.86,19286889.806,13.6,13.7984430467,2,3,0,1279351.44,10119785.268,40,-0.133542897238,3.51648351648,-3.07692307692,13.65,11.6186686667,303000.0,13.7,-0.05,-0.36,174280.03,242405.592,0.823679707523
295,601865.SH,61970.89,-0.0102395661234,-0.205420974474,-5.05685942415,-1.86913183761,-1,-2.0598086492,-3.07692307692,13.5938259848,14.2594407294,1.27739546405,0.665614744597,-1.22356143892,16,42,0,378808.62,25644105.5301,20190416,16.2650068805,7,8,-1,1097637.46,9802424.07171,13.31,13.08,7,11,0,4958165.34,25939579.1167,13.32,13.7539523657,7,11,0,2130489.94,18800258.1176,12.69,13.5142215233,3,4,0,1043100.52,9392859.36035,41,-0.301269694934,4.7619047619,-0.377928949358,13.23,15.7500613333,303000.0,13.65,-0.42,-3.08,236250.92,310521.575,0.665614744597
294,601865.SH,-68808.94,0.0280498431879,-1.94554573667,0.968399592253,-1.39099983873,1,-1.23655484984,-0.377928949358,13.5631722082,14.0933729249,1.12795651459,0.530200716725,-1.19551159573,17,43,0,211366.64,25318339.4997,20190417,15.9485637326,8,1,1,1265079.44,9964574.81687,13.11,13.2066666667,8,12,0,4790723.36,25706667.3496,13.43,13.5626349104,8,12,0,1963047.96,18593206.9252,13.01,13.3471107617,4,5,0,875658.54,9329578.18877,42,-0.665460005224,3.18664643399,-4.47647951442,13.18,11.1627986667,303000.0,13.23,-0.05,-0.38,167441.98,222730.853,0.530200716725
293,601865.SH,58963.99,-0.0156197801443,-2.20087779523,-3.23069156991,-2.39047676913,-1,-2.83623465477,-4.47647951442,13.4910853779,13.8620847826,0.976565092605,0.370999404669,-1.21113137587,18,44,0,-15039.33,24820047.6277,20190418,15.5975553347,1,2,0,1038673.47,9233126.95821,13.15,12.78,9,13,0,4564317.39,25165449.1379,13.21,13.2384232736,9,13,0,1736641.99,17951066.4671,12.54,12.9685553808,5,6,-1,649252.57,8316076.50213,43,-0.670538918067,5.32168387609,0.238284352661,12.59,15.0937313333,303000.0,13.18,-0.59,-4.48,226405.97,291867.058,0.370999404669
