date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,ema5,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,high_d,low_d,ema5_d,MACD_d,DIFF_d,DEM_d,K_d,D_d,ema_quick_d,ema_slow_d,MACD_d_d,ema5_d_d
2016-03-31,7.191,7.349,7.024,7.014,1019466.0,797901.0,716072918.4,6.81006012024,-0.00315835223116,-0.711845102506,4.76936218679,7.024,0.000921579104611,-0.07024,-0.07024,7.024,7.09424,34.328358209,44.776119403,13.4328358209,-8.00418920155e-05,-9.35951326752e-05,-0.000388436137934,0.488367144462,-0.473951607238,0.0843814750481,0.0314017631921,0.00335220605574,-0.000469938237754,-0.000519538925563,0.558372962624,0.346827533499
2016-04-01,6.994,7.102,6.974,6.817,527204.0,797901.0,367672069.6,3.52173680695,-0.711845102506,2.12216805277,4.08660739891,7.00733333333,0.106002233618,-0.0039886039886,-0.0569897207977,7.01630769231,7.0202962963,41.2481452387,43.6001280149,36.5441796864,-0.033610014968,-0.0280866837753,-0.00237281700835,114.022392639,0.943214635698,0.18864292714,0.20157640478,-0.0262638076673,-0.00109514631155,-0.010423062048,232.476788788,-5.10864123243
2016-04-05,6.896,7.161,7.122,6.866,509123.0,797901.0,362597400.6,3.40095524382,2.12216805277,-0.547598989048,4.14209491716,7.04555555556,0.0987645826511,0.00473814335923,-0.0446441479663,7.03256804734,7.02782990398,56.4253171648,47.8751910649,73.5255693647,0.00830751900873,0.00718791257151,0.0054546031142,-0.0682782873537,2.18792022792,0.216628063071,0.367947985012,0.0980516169243,0.00231750882981,0.00107311819385,-1.00059881472,3.29878793645
2016-04-06,7.073,7.378,7.083,7.004,554801.0,797901.0,392965548.3,3.70608550434,-0.547598989048,-2.92249047014,5.28024848228,7.05803703704,0.0848870071908,0.00841023152793,-0.0340332720675,7.04032680929,7.03191657776,44.6578763273,46.802752819,40.368123344,0.030303030303,0.0200990387416,0.00177153971508,-0.140511660028,0.775005712218,0.237676747843,-0.208548953355,-0.0224007094696,0.00110326155337,0.000581498675301,-1.05792595969,-0.675221152118
2016-04-07,6.955,7.093,6.876,6.856,459293.0,797901.0,315809866.8,3.06808951236,-2.92249047014,0.421756835369,3.44677137871,6.99735802469,0.0459389314292,-0.00532143992425,-0.0282909056388,7.0150457617,7.02036720163,32.5848570734,42.0634542371,13.6276627458,-0.0386283545676,-0.0211307824101,-0.00859715130811,-0.458822581342,-1.6327340581,0.168728014669,-0.270344679301,-0.101261107444,-0.00359089119968,-0.00164242223332,-2.26537015682,-5.852926093
2016-04-08,6.797,6.945,6.905,6.777,273331.0,797901.0,188735055.5,1.82585838343,0.421756835369,1.14409847936,2.43301955105,6.96657201646,0.0233361074697,-0.0137058384703,-0.0253738922051,6.99811564452,7.01182148299,47.1200634457,43.74899064,53.8622090572,-0.0208656421824,-0.0115227537923,-0.0043996617183,-0.492018931575,-1.57558831169,0.103107813901,0.446072429891,0.0400712788199,-0.00241340081878,-0.00121727516434,-0.0723511692388,0.488241911696
2016-04-11,6.994,7.083,6.984,6.905,314066.0,797901.0,219343694.4,2.09796927188,1.14409847936,-1.68957617411,2.54868270332,6.97238134431,0.0184916267335,-0.0138166254967,-0.0230624388634,6.9959440069,7.0097606324,46.2073831211,44.5684548004,49.4852397626,0.0198704103672,0.0188874133097,0.000833886139789,-0.207595921578,-0.00808319948211,0.0910957342688,-0.0193692507579,0.0187310415255,-0.000310317480942,-0.000293910875615,0.578073305201,1.18953414903
2016-04-12,6.945,6.994,6.866,6.777,267838.0,797901.0,183897570.8,1.78916499666,-1.68957617411,3.16050101952,3.16050101952,6.9369208962,-0.000154618523332,-0.0231590754405,-0.0230817661789,6.97595262122,6.99911169666,44.4761970423,44.5377022144,44.3531866983,-0.0125652971905,-0.0185372918175,-0.00508584461339,-1.00836154253,-0.676174507737,-0.000838042998441,-0.0374655728553,-0.000690007902373,-0.00285756799328,-0.0015191582554,-3.85732828883,-7.09896767762
2016-04-13,7.053,7.388,7.083,7.053,944374.0,797901.0,668900104.2,6.30844355377,3.16050101952,0.0,4.72963433573,6.9856139308,0.0162841117555,-0.0129041963317,-0.0210462522094,6.99242144873,7.00532564506,32.6358726551,40.5704256946,16.7667665761,0.0563340005719,0.0407259849491,0.00701940173846,106.31798781,0.442801748939,0.0881870977146,-0.266217104308,-0.089076811836,0.002360799793,0.000887819578342,106.43637706,2.38018407404
2016-04-14,7.093,7.142,7.083,6.994,406962.0,797901.0,288251184.6,2.71851703407,0.0,-0.974163490047,2.08951009459,7.01807595387,0.0261176987048,-0.00472269051893,-0.0177815398713,7.00635661046,7.01107930098,41.8022934818,40.9810482903,43.4447838647,-0.0332972387656,-0.00836523465192,0.00464698212457,0.603876164502,0.6340190123,0.155120840785,0.280869487498,0.0101212296566,0.00199289499875,0.00082132597585,-0.994320094116,-0.337980315458
2016-04-15,7.083,7.102,7.014,6.945,314861.0,797901.0,220843505.4,2.10327989312,-0.974163490047,-2.39520958084,2.23838038209,7.01671730258,0.0224294517756,-0.0037631325116,-0.0149778583994,7.00753251654,7.01129564906,42.5178771832,41.4933245879,44.5669823736,-0.00560067208065,-0.00700600514727,-0.000193593129875,-0.141216382458,0.203180370064,0.157673716238,0.0171182880603,0.0125003219534,0.000167834175199,3.0858027166e-05,-1.23384990294,-1.0416599687
2016-04-18,6.945,6.945,6.846,6.807,256456.0,797901.0,175569777.6,1.71313293253,-2.39520958084,1.30002921414,2.01577563541,6.95981153505,-0.00222769336218,-0.0163701667507,-0.0152563200696,6.98268136015,6.9990515269,37.7655413105,40.2507301621,32.7951636073,-0.0221064488876,-0.0198704103672,-0.00811002710705,-1.09932000944,-3.35014358391,-0.0185915544697,-0.111772651588,-0.0299468514067,-0.00354634906549,-0.00174634229751,-6.78464927587,-40.8921224751
2016-04-19,6.896,6.974,6.935,6.827,192857.0,797901.0,133746329.5,1.28828991316,1.30002921414,-5.68132660418,2.11968276857,6.95154102337,-0.00592781280375,-0.018961203072,-0.0159972966701,6.97534576628,6.99430696936,49.6668234587,43.3894279277,62.2216145208,0.00417566594672,0.00293815190245,-0.00118832408645,-1.66096443271,-0.158277943084,-0.0485685012562,0.315136013816,0.0779786541234,-0.00105054111613,-0.000677885786406,-0.51090166507,0.853474708436
2016-04-20,7.073,7.093,6.541,6.383,423177.0,797901.0,276800075.7,2.82683366733,-5.68132660418,2.40024461092,10.8546093869,6.81469401558,-0.0579328607321,-0.0522053346277,-0.0232389042616,6.9085233407,6.96072867533,40.5290560147,42.4359706234,36.7152267975,0.0170633782621,-0.0650358869196,-0.0196858520045,-8.77305840285,-1.75327121541,-0.452676957917,-0.183981314037,-0.021974415194,-0.00957980117703,-0.00480080359261,-4.28190624077,-15.5660632726
2016-04-21,6.561,6.994,6.698,6.551,459081.0,797901.0,307492453.8,3.06667334669,2.40024461092,-1.46312332039,6.61391460137,6.77579601039,-0.0670292052321,-0.0651321575317,-0.0316175549157,6.87613513444,6.94126729197,38.0803187578,40.9840866682,32.2727829369,-0.0139574228112,0.026319912267,-0.00570796063684,-0.157015282606,-0.247614980274,-0.360544135803,-0.0604193015522,-0.0342135206023,-0.00468815181833,-0.00279588305556,0.98210256043,0.710047569416
2016-04-22,6.501,6.61,6.6,6.413,222571.0,797901.0,146896860.0,1.48678022712,-1.46312332039,-2.09090909091,2.98484848485,6.71719734026,-0.0811485957229,-0.0823354272425,-0.041761129381,6.83365280606,6.91598823331,57.0281651278,46.3321128214,78.4202697408,-0.0549042036031,-0.0210654861853,-0.00864823410251,-0.210645351409,-0.264128663362,-0.320820964569,0.497575834137,0.130490309484,-0.00617822767364,-0.00364185063061,-0.341559547029,-0.515118034749
2016-04-25,6.551,6.58,6.462,6.364,198636.0,797901.0,128358583.2,1.32689378758,-2.09090909091,0.0,3.3426183844,6.63213156017,-0.102596631389,-0.105884023999,-0.0545857083046,6.77647545129,6.88235947528,53.142233542,48.6021530616,62.2223945029,-0.00453857791225,-0.00764072976766,-0.012663879856,-0.264305690993,-0.286008071435,-0.307093680503,-0.068140568386,0.0489949648738,-0.00836702659643,-0.00486246605521,-0.25474257668,-0.464331296522
