date,open,high,close,low,volume,turnover_rate,p_change,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2015-11-16,10.01,11.23,11.12,9.9,295372.0,4.29319767442,-0.0186960431655,0.152627747009,-0.1112,-0.1112,11.12,11.2312,63.9097744361,54.6365914787,82.4561403509,-0.00980198019802,-0.840857775318,-0.168171555064,-0.293117647059
2015-11-17,11.06,11.3,10.91,10.88,253425.0,3.68350290698,-0.0188848920863,0.151116581197,-0.0167521367521,-0.0923104273504,11.0876923077,11.1044444444,44.9874686717,51.4202172097,32.1219715957,-0.00990099009901,-0.8493512882,-0.16987025764,-0.296078431373
2015-11-18,10.98,11.49,11.05,10.98,199675.0,2.90225290698,0.012832263978,0.118067833346,-0.0185180315095,-0.0775519481822,11.0818934911,11.1004115226,34.5668091798,45.8024145331,12.0955984733,-0.21869703238,0.105413105413,-0.159878787173,-0.231634715167
2015-11-19,11.07,11.65,11.61,11.07,198965.0,2.89193313953,0.0506787330317,0.164054043623,0.0249818290824,-0.0570451927293,11.1631406463,11.1381588173,54.0790222118,48.5612837593,65.1144991168,0.389489744793,-2.34905424854,-0.264426051616,0.564478281189
2015-11-20,11.73,12.66,12.52,11.73,242930.0,3.53095930233,0.0783807062877,0.301465613686,0.131370815824,-0.0193619910185,11.3718882392,11.2405174234,64.3680936609,53.8302203932,85.4438401964,0.837599409484,4.2586548163,-0.660585053846,0.190259938665
2015-11-23,12.52,13.09,11.93,11.91,278598.0,4.04938953488,-0.047124600639,0.296837393927,0.166161380186,0.0177426832223,11.457751587,11.2915902068,43.477034192,50.3791583261,29.6727859238,-0.0153523969211,0.264827192728,-1.91636666938,-0.324556131473
2015-11-24,11.83,12.48,12.29,11.5,214638.0,3.11973837209,0.0301760268231,0.324001013391,0.220243316592,0.0582428098962,11.5857898044,11.3655464878,55.8554377607,52.2045848043,63.1571436734,0.0915100995371,0.325478377381,2.28263821016,0.284711314805
2015-11-25,12.14,12.75,12.69,12.14,155018.0,2.25316860465,0.0325467860049,0.37403412921,0.292014140653,0.104997076047,11.755668296,11.4636541554,67.2916033159,57.2335909748,87.4076279979,0.154422713976,0.325870610611,0.802747433282,0.204745786868
2015-11-26,12.7,13.0,12.35,12.35,161668.0,2.3498255814,-0.026792750197,0.340475941791,0.317794539667,0.147556568771,11.8471039428,11.5293094031,44.8610688772,53.1094169423,28.3643727471,-0.0897195865245,0.0882847623643,0.405339789697,-0.333333333333
2015-11-27,12.38,12.6,11.23,11.12,220199.0,3.20056686047,-0.0906882591093,0.155951951475,0.245026538443,0.167050562706,11.7521648747,11.5071383362,32.384856729,46.2012302045,4.75210977786,-0.541958968807,-0.228978135686,0.132112003529,-0.2781077772
2015-11-30,11.2,11.74,11.59,10.68,245479.0,3.56800872093,0.0320569902048,0.0750234119356,0.213940195165,0.176428489198,11.7272164324,11.5132762373,50.2062566872,47.5362390321,55.5462919975,-0.518932522317,-0.126869291282,0.0561382514375,0.550300410695
