date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-09-12,5.401,5.451,5.371,5.342,149825.0,390931.0,80471007.5,2.02740189445,1.3032954757,1.3032954757,2.02941724074,1.0,195266.244647,0,1,1,5.371,0.651647737851,97633.1223236,0,1,1,5.371,0.434431825234,65088.7482157,0,1,1,5.388,0.556792873051,83421.4922049,0,1,1,5.371,0.579242433646,86784.997621,0,1,1
2016-09-13,5.391,5.461,5.441,5.352,81791.0,390931.0,44502483.1,1.10677943166,1.3032954757,0.183789744532,2.0033082154,1.0,301864.0849,0,2,2,5.406,0.651647737851,150932.04245,0,2,2,5.39433333333,0.434431825234,100621.361633,0,2,2,5.418,0.556792873051,128962.138085,0,2,2,5.40211111111,0.579242433646,134161.815511,0,2,2
2016-09-14,5.381,5.481,5.451,5.362,87176.0,390931.0,47519637.6,1.17964817321,0.183789744532,0.733810310035,2.18308567235,1.0,317886.13967,0,3,3,5.4285,0.416204217536,187215.061318,0,3,3,5.41322222222,0.350161692311,131147.057322,0,3,3,5.43133333333,0.246093269349,150415.564933,0,3,3,5.42383950617,0.402220439654,169225.784559,0,3,3
2016-09-19,5.451,5.511,5.491,5.451,87769.0,390931.0,48193957.9,1.18767253045,0.733810310035,-0.182116190129,1.09269714078,1.0,382291.936771,1,4,4,5.45975,0.575665469282,237740.643892,0,4,4,5.43914814815,0.478937033464,173182.881812,0,4,4,5.48433333333,0.975819319995,236062.25083,1,4,4,5.45368861454,0.550331703836,217527.847873,0,4,4
2016-09-20,5.481,5.481,5.481,5.421,63722.0,390931.0,34926028.2,0.862273342355,-0.182116190129,-0.182448458311,1.09469074986,0.901726338108,370687.128904,0,5,1,5.470375,0.194605980127,250141.326157,0,5,5,5.45309876543,0.256485333805,189526.640253,0,5,5,5.461,-0.425454324439,208951.450368,-1,5,1,5.46379895021,0.185385275551,229340.968401,0,5,5
2016-09-21,5.491,5.511,5.471,5.451,55576.0,390931.0,30405629.6,0.752043301759,-0.182448458311,-0.182781941144,1.09669164687,0.812503185678,360547.373385,0,6,2,5.4706875,0.0057125882595,250458.808962,1,6,6,5.45906584362,0.109425455983,195608.069395,0,6,6,5.47766666667,0.305194408838,225912.934834,1,1,2,5.46602151154,0.0406779487605,231601.686082,1,6,6
2016-09-22,5.501,5.521,5.461,5.441,107770.0,390931.0,58853197.0,1.45832205683,-0.182781941144,-0.732466581212,1.46493316242,0.731135190705,340848.963588,0,7,3,5.46584375,-0.088540060093,240916.846686,0,7,1,5.45971056241,0.0118100570928,196880.839248,1,7,7,5.47433333333,-0.0608531613217,219354.789638,0,2,1,5.46472900842,-0.0236461403677,229053.341534,0,7,1
2016-09-23,5.461,5.481,5.421,5.401,85823.0,390931.0,46524648.3,1.16133964817,-0.732466581212,-2.74857037447,1.47574248294,0.467188984978,277986.484188,0,8,4,5.443421875,-0.410218001567,205710.707138,0,8,2,5.44680704161,-0.23634074842,176597.367196,0,8,1,5.43433333333,-0.730682579309,156645.418634,0,3,2,5.45934379752,-0.0985448848071,220595.923885,0,8,2
2016-09-26,5.421,5.431,5.272,5.262,101140.0,390931.0,53321008.0,1.36860622463,-2.74857037447,0.379362670713,3.20561456753,-0.0667577043924,-3.92348565365,-1,9,5,5.3577109375,-1.57457826103,46457.8618169,0,9,3,5.38853802774,-1.06978296504,68399.5181119,0,9,2,5.32166666667,-2.07323805435,-53041.8781825,0,4,3,5.45912063116,-0.00408778720826,220182.485087,0,9,3
2016-09-27,5.252,5.302,5.292,5.212,84260.0,390931.0,44590392.0,1.1401894452,0.379362670713,-0.377928949358,1.70068027211,-0.0157376268983,31961.1751486,1,1,6,5.32485546875,-0.613237054654,-5213.49240822,0,10,4,5.35635868516,-0.59718132106,18081.0199993,0,10,3,5.26866666667,-0.995928593799,-136958.821496,-1,5,4,5.45842000917,-0.0128339715069,219101.094648,0,10,4
2016-09-28,5.292,5.292,5.272,5.242,59031.0,390931.0,31121143.2,0.798795669824,-0.377928949358,1.13808801214,0.948406676783,-0.257765799005,9651.65133912,-1,2,1,5.29842773438,-0.496308952048,-34511.1061565,-1,11,5,5.32823912344,-0.524975330682,-12908.7987461,-1,11,4,5.26866666667,1.6857745534e-14,-136958.821496,0,1,5,5.45726608469,-0.0211402655656,217853.163631,0,11,5
