date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,ema5,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,high_d,low_d,ema5_d,MACD_d,DIFF_d,DEM_d,K_d,D_d,ema_quick_d,ema_slow_d,MACD_d_d,ema5_d_d
2016-06-22,11.707,12.015,12.015,11.604,272399.0,602640.0,327287398.5,2.80245884774,-0.0825874474164,-3.47898460258,3.42072409488,12.015,0.00213912853708,-0.12015,-0.12015,12.015,12.13515,66.6666666667,55.5555555556,88.8888888889,-0.000764226849965,-0.00080526751083,-0.00105040073001,0.277854172401,-0.219236215183,0.0121123967362,0.0355658418703,0.00311328615685,-0.00110875177177,-0.00115709667815,-1.04606774178,-1.64627994033
2016-06-23,11.941,11.985,11.597,11.582,274911.0,602640.0,318814286.7,2.82830246914,-3.47898460258,-1.01750452703,3.47503664741,11.8756666667,0.138888433048,-0.0333447293447,-0.102788945869,11.9506923077,11.984037037,45.6851392335,52.2654167815,32.5245841375,-0.00249687890137,-0.00189589796622,-0.0115966153419,63.9275771142,0.722474162757,0.144494832551,-0.314722911497,-0.0592224979322,-0.00535228400397,-0.0124525006253,229.076001961,-10.0401821044
2016-06-24,11.553,11.817,11.479,10.988,311632.0,602640.0,357722372.8,3.20609053498,-1.01750452703,2.81383395766,7.22188343932,11.7434444444,0.0548581121257,-0.0685026257904,-0.0959316818532,11.8781242604,11.9466268861,50.1994213306,51.5767516312,47.4447607293,-0.0140175219024,-0.0512864790192,-0.0111338778642,-0.605020296351,-1.0543764228,0.0667120764567,0.0988129219437,-0.0131763064895,-0.00607228815443,-0.00312166515975,-1.00946415184,0.0399028047515
2016-06-27,11.435,11.802,11.802,11.384,257916.0,602640.0,304392463.2,2.65345679012,2.81383395766,-0.432130147433,3.54177258092,11.762962963,0.0422891745125,-0.0695009477829,-0.0906455350392,11.8664128357,11.9359137835,66.7996142204,56.651039161,87.0967643393,-0.001269357705,0.036039315617,0.00166207781804,-0.229117210312,-0.014573485046,0.0551032433909,0.330684945161,0.0983832321586,-0.000985965832088,-0.00089674707175,0.621306571541,1.14928112544
2016-06-28,11.714,11.773,11.751,11.509,233115.0,602640.0,273933436.5,2.39830246914,-0.432130147433,0.748872436388,2.24661730917,11.7589753086,0.0273377338809,-0.0735594513636,-0.0872283183041,11.8486570148,11.9222164662,75.0886317025,62.7969033415,99.6720884245,-0.00245721064226,0.0109803232607,-0.000339000839631,-0.353552435203,-0.0583949386327,0.0376986768695,0.12408780468,0.108486345026,-0.00149630904642,-0.00114757173539,-0.543107279985,-1.20396207443
2016-06-29,11.795,12.08,11.839,11.729,325433.0,602640.0,385280128.7,3.34807613169,0.748872436388,-1.85826505617,2.96477743053,11.7856502058,0.029355768054,-0.0688809632703,-0.0835588472973,11.8471713202,11.9160522835,60.5054315813,62.0330794214,57.4501359012,0.0260766159857,0.0191154748458,0.00226847122468,0.0738186340526,0.0636014544238,0.0420674280795,-0.194213155714,-0.01216340105,-0.000125389281195,-0.000517033279596,1.20879119107,7.69163895626
2016-06-30,11.787,11.868,11.619,11.531,193142.0,602640.0,224411689.8,1.98705761317,-1.85826505617,-1.83320423444,2.90042172304,11.7301001372,0.00252556295035,-0.0819803704533,-0.0832431519285,11.8120680402,11.8940484106,49.0412076022,57.7024554817,31.7187118432,-0.0175496688742,-0.0168812345468,-0.00471336477982,-0.913967062769,-0.190174564366,0.00377812019918,-0.189474294778,-0.069811526046,-0.00296300940416,-0.00184657404381,-13.3812513534,-3.07777146501
2016-07-01,11.626,11.707,11.406,11.399,167665.0,602640.0,191238699.0,1.72494855967,-1.83320423444,1.21865684727,2.70033315799,11.6220667581,-0.0400919849378,-0.108300642515,-0.0882546500457,11.749596034,11.8578966765,33.451714159,49.6188750408,1.11739239552,-0.0135658914729,-0.0114474026537,-0.0092099281161,-16.8744746126,-0.321055783424,-0.0602031278385,-0.317885594694,-0.140090753043,-0.0052888288461,-0.00303948099701,-17.4628913885,-0.954002829473
2016-07-04,11.333,11.597,11.545,11.245,159780.0,602640.0,184466010.0,1.64382716049,1.21865684727,0.762234733651,3.0489389346,11.5963778387,-0.0453516380782,-0.116599423845,-0.0939236048055,11.7181197211,11.8347191449,50.7102336818,49.9826612545,52.1653785364,-0.00939608781071,-0.0135099570138,-0.00221035723737,-0.131189641732,-0.0766272585022,-0.0642340630984,0.515923322814,0.00733160946036,-0.00267892724422,-0.00195460731582,0.992225556958,0.76000276989
2016-07-05,11.611,11.809,11.633,11.325,256689.0,602640.0,298606313.7,2.64083333333,0.762234733651,-1.51293733345,4.16057766698,11.6085852258,-0.033326402977,-0.114752606666,-0.0980894051776,11.7050243794,11.819776986,55.0189436666,51.6614220585,61.7339868829,0.0182805898077,0.00711427301023,0.00105268966354,0.265155474219,0.0158389906021,-0.0443530716346,0.0849672673941,0.0335868631627,-0.0011175292638,-0.00126256979152,3.02116166123,1.47625318014
