date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-09-26,5.34,5.34,5.22,5.21,52699.0,278397.0,27508878.0,0.357766463001,0.766283524904,0.766283524904,2.49042145594,1.0,40382.3754789,0,1,1,5.22,0.383141762452,20191.1877395,0,1,1,5.22,0.255427841635,13460.7918263,0,1,1,5.25666666667,-0.253646163602,-13366.8991757,0,1,1,5.22,0.340570455513,17947.7224351,0,1,1
2016-09-27,5.21,5.26,5.26,5.21,38762.0,278397.0,20388812.0,0.263150033944,0.766283524904,0.0,0.950570342205,1.0,70085.0574713,1,2,2,5.24,0.383141762452,35042.5287356,0,2,2,5.23333333333,0.255427841635,23361.6858238,0,2,2,5.24333333333,-0.253646163602,-23198.7317692,-1,2,2,5.23777777778,0.340570455513,31148.9144317,0,2,2
2016-09-28,5.27,5.27,5.26,5.21,33660.0,278397.0,17705160.0,0.228513238289,0.0,0.190114068441,1.14068441065,1.0,70085.0574713,0,3,1,5.25,0.190839694656,41466.1928578,0,3,3,5.24222222222,0.169851380042,29078.883276,0,3,3,5.24666666667,0.0635727908455,-21058.8716293,0,1,3,5.24765432099,0.18856361665,37495.9657681,0,3,3
2016-09-29,5.26,5.32,5.27,5.24,44684.0,278397.0,23548468.0,0.303353699932,0.190114068441,0.569259962049,1.51802656546,1.0,78580.1145055,0,4,2,5.26,0.190476190476,49977.430953,0,4,4,5.25148148148,0.176628514907,36971.3518361,0,4,4,5.27666666667,0.571791613723,4491.06483828,0,2,4,5.25758573388,0.189254327494,45952.6061378,0,4,4
2016-09-30,5.27,5.31,5.3,5.26,41656.0,278397.0,22077680.0,0.282797012899,0.569259962049,2.07547169811,0.943396226415,1.0,102293.207485,0,5,3,5.28,0.380228136882,65816.214223,0,5,5,5.26765432099,0.307967181513,49800.0327492,0,5,5,5.29,0.252684775742,15016.9018566,0,3,5,5.27643651882,0.358544508744,60888.1361941,0,5,5
2016-10-10,5.31,5.42,5.41,5.31,128768.0,278397.0,69663488.0,0.874188730482,2.07547169811,0.369685767098,2.03327171904,1.0,369547.547107,0,6,4,5.345,1.23106060606,224337.426344,0,6,6,5.31510288066,0.900753101466,165788.208119,0,6,6,5.38,1.70132325142,234092.894295,0,4,6,5.33579806601,1.12503101246,205756.129607,0,6,6
2016-10-11,5.4,5.46,5.43,5.38,95435.0,278397.0,51821205.0,0.64789545146,0.369685767098,1.10497237569,1.47329650092,1.0,404828.50829,0,7,5,5.3875,0.795135640786,300221.196223,0,7,7,5.35340192044,0.720570055565,234555.811372,0,7,7,5.42333333333,0.805452292441,310961.233824,0,5,7,5.37766559223,0.784653498848,280639.536269,0,7,7
2016-10-12,5.42,5.53,5.49,5.39,148604.0,278397.0,81583596.0,1.0088526816,1.10497237569,-0.546448087432,2.55009107468,1.0,569031.823207,1,8,6,5.43875,0.951276102088,441584.630097,0,8,8,5.39893461363,0.850537543486,360949.092484,0,8,8,5.47,0.860479409957,438831.916062,1,6,8,5.42759199568,0.92840290266,418603.921216,0,8,8
2016-10-13,5.47,5.5,5.46,5.43,78019.0,278397.0,42598374.0,0.529660556687,-0.546448087432,0.732600732601,1.28205128205,0.828928085932,526398.489874,-1,9,1,5.449375,0.195357389106,456826.218238,0,9,9,5.41928974242,0.377021213407,390363.910533,0,9,9,5.46333333333,-0.121876904327,429323.201863,-1,7,1,5.43794808998,0.190804583455,433490.304013,0,9,9
2016-10-14,5.44,5.5,5.5,5.42,89320.0,278397.0,49126000.0,0.606381534284,0.732600732601,-1.27272727273,1.45454545455,0.846527482394,591834.38731,1,1,2,5.4746875,0.464502809955,498315.609223,1,10,10,5.44619316161,0.496438103017,434705.761894,1,10,10,5.47333333333,0.183038438072,445672.195151,1,1,2,5.45851541314,0.378218453231,467272.776255,1,10,10
