date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-10-28,12.912,15.492,15.492,12.912,196.0,362912.0,303643.2,0.0111363636364,10.0051639556,10.0051639556,16.6537567777,1.0,1961.0121353,0,1,1,15.492,5.0025819778,980.506067648,0,1,1,15.492,3.33505465186,653.670711765,0,1,1,14.632,16.4707490432,3228.26681247,0,1,1,15.492,4.44673953582,871.56094902,0,1,1
2016-10-31,17.042,17.042,17.042,17.042,116.0,362912.0,197687.2,0.00659090909091,10.0051639556,10.0105621406,0.0,1.0,3121.61115414,0,2,2,16.267,5.0025819778,1560.80557707,0,2,2,16.0086666667,3.33505465186,1040.53705138,0,2,2,17.042,16.4707490432,5138.87370148,0,2,2,16.1808888889,4.44673953582,1387.38273518,0,2,2
2016-11-01,18.748,18.748,18.748,18.748,85.0,362912.0,159358.0,0.00482954545455,10.0105621406,10.011734585,0.0,1.0,3972.50893609,0,3,3,17.5075,7.62586832237,2209.00438447,0,3,3,16.9217777778,5.7038548564,1525.36471418,0,3,3,18.748,10.0105621406,5989.77148343,0,3,3,17.3218271605,7.05114706268,1986.7302355,0,3,3
2016-11-02,20.625,20.625,20.625,20.625,98.0,362912.0,202125.0,0.00556818181818,10.011734585,10.0024242424,0.0,1.0,4953.65892543,0,4,4,19.06625,8.90332714551,3081.53044473,0,4,4,18.1561851852,7.29478559297,2240.25370229,0,4,4,20.625,10.011734585,6970.92147276,0,4,4,18.7899039781,8.4753000013,2817.30963563,0,4,4
2016-11-03,22.688,22.688,22.688,22.688,214.0,362912.0,485523.2,0.0121590909091,10.0024242424,10.0008815233,0.0,1.0,7094.17771331,0,5,5,20.877125,9.49780371075,5114.06043883,0,5,5,19.6667901235,8.32005689997,4020.74587888,0,5,5,22.688,10.0024242424,9111.44026064,0,5,5,20.5223910989,9.22030853851,4790.45566287,0,5,5
2016-11-04,24.957,24.957,24.957,24.957,244.0,362912.0,608950.8,0.0138636363636,10.0008815233,9.99318828385,0.0,1.0,9534.39280498,0,6,6,22.9170625,9.77116101954,7498.2237276,0,6,6,21.4301934156,8.96640113161,6208.54775499,0,6,6,24.957,10.0008815233,11551.6553523,0,6,6,22.4933283883,9.60383846049,7133.79224723,0,6,6
2016-11-07,27.451,27.451,27.451,27.451,364.0,362912.0,999216.4,0.0206818181818,9.99318828385,10.0105642782,0.0,1.0,13171.9133403,0,7,7,25.18403125,9.89205640993,11098.9322608,0,7,7,23.4371289438,9.36499026955,9617.40421311,0,7,7,27.451,9.99318828385,15189.1758876,0,7,7,24.6967379935,9.7958362016,10699.4766246,0,7,7
2016-11-08,30.199,30.199,30.199,30.199,628.0,362912.0,1896497.2,0.0356818181818,10.0105642782,9.99701976887,0.0,1.0,19458.547707,0,8,8,27.691515625,9.95664415323,17351.704789,0,8,8,25.6910859625,9.61703553433,15656.9025287,0,8,8,30.199,10.0105642782,21475.8102543,0,8,8,27.1421877742,9.90191409616,16917.878677,0,8,8
2016-11-09,33.218,33.218,33.218,33.218,903.0,362912.0,2999585.4,0.0513068181818,9.99701976887,10.0006020832,0.0,1.0,28485.8565583,0,9,9,30.4547578125,9.9786599799,26362.4347509,0,9,9,28.2000573083,9.76592172668,24475.5298479,0,9,9,33.218,9.99701976887,30503.1191056,0,9,9,29.8425487634,9.94894373191,25901.7748669,0,9,9
2016-11-10,36.54,36.54,36.54,36.54,920.0,362912.0,3361680.0,0.0522727272727,10.0006020832,9.99452654625,0.0,1.0,37686.4104748,0,10,10,33.4973789062,9.99062646461,35553.8110983,0,10,10,30.9800382056,9.85806825435,33544.9526419,0,10,10,36.54,10.0006020832,39703.6730222,0,10,10,32.8191937575,9.97449989152,35078.3147671,0,10,10
