date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,ema5,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,high_d,low_d,ema5_d,MACD_d,DIFF_d,DEM_d,K_d,D_d,ema_quick_d,ema_slow_d,MACD_d_d,ema5_d_d
2016-08-26,5.558,6.67,6.67,5.558,116.0,194000.0,77372.0,0.0059793814433,0.12780198234,10.0,16.6716641679,6.67,0.00105193861623,-0.0667,-0.0667,6.67,6.7367,66.6666666667,55.5555555556,88.8888888889,0.00131285739534,0.0014690726951,0.00073058628403,-0.217604495678,-0.151370517129,0.978827727565,0.0397515128908,0.00441053440583,0.000533688687587,0.000420181849366,1.05115017203,-0.631226369057
2016-08-29,7.337,7.337,7.337,7.337,75.0,194000.0,55027.5,0.00386597938144,10.0,10.0177184135,0.0,6.89233333333,0.191852763533,0.053207977208,-0.0427184045584,6.77261538462,6.71940740741,66.6666666667,59.2592592593,81.4814814815,0.1,0.320079165167,0.0333333333333,181.380188894,1.79772079772,0.359544159544,0.0,0.0666666666667,0.0153846153846,-0.002566923359,834.531441201,44.6254573374
2016-08-30,8.072,8.072,8.072,8.072,26.0,194000.0,20987.2,0.00134020618557,10.0177184135,9.98513379584,0.0,7.28555555556,0.313023461303,0.152921258756,-0.00359047189552,6.97252071006,6.8195994513,66.6666666667,61.7283950617,76.5432098765,0.100177184135,0.100177184135,0.0570521191017,0.631581716828,1.87402879757,0.915950234269,0.0,0.0416666666667,0.0295167101764,0.014910845231,-0.996517912344,0.711563573052
2016-08-31,8.878,8.878,8.878,8.878,113.0,194000.0,100321.4,0.00582474226804,9.98513379584,10.0247803559,0.0,7.81637037037,0.475501241479,0.293597804029,0.0558471832893,7.26567137005,6.97207356602,66.6666666667,63.3744855967,73.2510288066,0.0998513379584,0.0998513379584,0.0728585226984,0.519059432476,0.919927983964,16.5542738989,0.0,0.0266666666667,0.0420437130532,0.0223582214479,-0.178159502333,0.277051998164
2016-09-01,9.768,9.768,9.768,9.768,135.0,194000.0,131868.0,0.0069587628866,10.0247803559,10.0122850123,0.0,8.46691358025,0.664989750944,0.471465777629,0.138970902157,7.65064500543,7.1791792278,66.6666666667,64.4718792867,71.0562414266,0.100247803559,0.100247803559,0.0832282989484,0.398502659796,0.605821880001,1.48841381019,0.0,0.017316017316,0.0529852804744,0.0297050310521,-0.232260055664,0.142327566714
2016-09-02,10.746,10.746,10.746,10.746,95.0,194000.0,102087.0,0.00489690721649,10.0122850123,10.0130281035,0.0,9.2266090535,0.871191024138,0.683465292244,0.247869780175,8.12685346613,7.44338817389,66.6666666667,65.20347508,69.59304984,0.100122850123,0.100122850123,0.0897251951435,0.310081881565,0.449660451879,0.78360920399,0.0,0.0113475177305,0.0622442239008,0.0368021103396,-0.221882529657,0.0780611435921
2016-09-05,11.822,11.822,11.822,11.822,70.0,194000.0,82754.0,0.00360824742268,10.0130281035,10.0152258501,0.0,10.091739369,1.08758076393,0.927607757628,0.383817375665,8.69533754826,7.76772979064,66.6666666667,65.6912056089,68.6175887822,0.100130281035,0.100130281035,0.0937647092756,0.248383803084,0.357212675106,0.548463775596,0.0,0.00748013090229,0.0699513144297,0.04357445953,-0.198973503935,0.0450209567736
2016-09-06,13.006,13.006,13.006,13.006,344.0,194000.0,447406.4,0.0177319587629,10.0152258501,9.98769798555,0.0,11.0631595793,1.31031872829,1.20276658085,0.547607216702,9.35851638699,8.15574980614,66.6666666667,66.0163592948,67.9672814104,0.100152258501,0.100152258501,0.0962589475228,0.20480130925,0.296632731839,0.426738994692,0.0,0.00494972931168,0.0762683259905,0.0499528209614,-0.175464314874,0.0266010342958
2016-09-07,14.305,14.305,14.305,14.305,354.0,194000.0,506397.0,0.0182474226804,9.98769798555,9.99650471863,0.0,12.1437730529,1.53705092594,1.50826404541,0.739738582444,10.1195138659,8.6112498205,66.6666666667,66.2331284188,67.5337431625,0.0998769798555,0.0998769798555,0.0976767501008,0.173035913132,0.253995637582,0.350856160916,0.0,0.00328356677441,0.0813160385103,0.0558501701482,-0.155103481681,0.0147290471644
2016-09-08,15.735,15.735,15.735,15.735,267.0,194000.0,420124.5,0.0137628865979,9.99650471863,9.99682237051,0.0,13.3408487019,1.76761793311,1.84449979064,0.960690824083,10.9834348096,9.13893501899,66.6666666667,66.3776411681,67.2447176639,0.0999650471863,0.0999650471863,0.0985752651852,0.15000609497,0.222928966746,0.298689627501,0.0,0.00218188016705,0.0853717831856,0.0612785843496,-0.133092707432,0.00919886342913
2016-09-09,17.308,17.308,17.308,17.308,1617.0,194000.0,2798703.6,0.0833505154639,9.99682237051,10.0069332101,0.0,14.663232468,2.00272491412,2.21239389541,1.21103143835,11.9564448389,9.7440509435,66.6666666667,66.4739830009,67.0520339981,0.0999682237051,0.0999682237051,0.0991229115606,0.133007804801,0.199454674181,0.260583954785,0.0,0.00145141995362,0.0885888655192,0.0662129584314,-0.113317330026,0.00555561655775
2016-09-12,19.04,19.04,19.04,19.04,3639.0,194000.0,6928656.0,0.187577319588,10.0069332101,9.99474789916,0.0,16.1221549786,2.24408216824,2.6135827935,1.49154170938,13.046222556,10.4326397625,66.6666666667,66.5382108895,66.923578221,0.100069332101,0.100069332101,0.0994952861773,0.120514431323,0.181337011878,0.231629222948,0.0,0.0009662109246,0.0911456316466,0.0706676127816,-0.0939296268824,0.00375669571054
2016-09-13,20.943,20.943,20.943,20.943,4623.0,194000.0,9681948.9,0.238298969072,9.99474789916,9.99379267536,0.0,17.7291033191,2.49341555021,3.04992642826,1.80321865315,14.2611113935,11.2111849653,66.6666666667,66.5810294819,66.8379410362,0.0999474789916,0.0999474789916,0.0996732969374,0.111107064393,0.166952290873,0.208962942046,0.0,0.000643518841465,0.0931218850762,0.0746259068175,-0.0780600864751,0.00178913762535
2016-09-14,22.468,23.036,23.036,21.241,160446.0,194000.0,369603405.6,8.27041237113,9.99379267536,-2.51779822886,7.79215141518,19.4980688794,2.75324546055,3.523997066,2.14737433572,15.6110942561,12.0870971901,77.7777777778,70.3132789139,92.7067755056,0.0999379267536,0.014229098028,0.0997774973988,0.104206420914,0.155436745407,0.190856323478,0.166666666667,0.0560557483266,0.0946618272082,0.0781284250957,-0.0621080533093,0.00104542003377
2016-09-19,22.142,22.997,22.456,21.757,159853.0,194000.0,358965896.8,8.23984536082,-2.51779822886,-0.333986462415,5.52190951193,20.4840459196,2.65858924417,3.80899261333,2.47969799124,16.6641566782,12.8551640649,70.6421744325,70.4229107534,71.0807017907,-0.00169300225734,0.0242926415894,0.0505679329733,-0.0343798683163,0.0808728106171,0.154758138809,-0.0917434715822,0.00155919111212,0.0674560286979,0.0635443616222,-1.3299208246,-0.493193011534
2016-09-20,22.639,23.835,22.381,22.25,182020.0,194000.0,407378962.0,9.3824742268,-0.333986462415,-6.67530494616,7.08189982575,21.1163639464,2.40510640417,3.98288949385,2.78033629177,17.5436710354,13.5607815416,49.8497776974,63.5651997347,22.4189336227,0.0364395355916,0.0226593739946,0.0308688053758,-0.0953448677919,0.0456542971267,0.121239885495,-0.294334041982,-0.0973789771725,0.0527788098841,0.0548898071712,-1.77327611946,-0.389557698708
2016-09-21,21.372,21.574,20.887,20.84,128308.0,194000.0,267996919.6,6.61381443299,-6.67530494616,0.248958682434,3.5141475559,21.0399092976,1.87876584889,3.95456494732,3.01518202288,18.0580293377,14.1034643903,35.3676083832,54.1660026175,-2.22918008557,-0.0948604992658,-0.0633707865169,-0.00362063511469,-0.218842939492,-0.00711155721815,0.0844666639094,-0.290516226614,-0.147867027185,0.0293187384331,0.0400185525525,-1.29527760183,-1.11729106684
2016-09-22,21.253,21.523,20.939,20.585,97712.0,194000.0,204599156.8,5.03670103093,0.248958682434,-3.13290988108,4.47967906777,21.0062728651,1.40203713457,3.89145523198,3.1904366647,18.5012555934,14.6098003614,36.1583629449,48.16345606,12.1481767146,-0.00236395661444,-0.012236084453,-0.00159869665106,-0.253745678103,-0.0159586999283,0.0581240669689,0.0223581575864,-0.110817602693,0.0245445528666,0.0359015315013,-0.159487615602,0.558448559323
2016-09-23,20.45,21.201,20.283,20.26,79391.0,194000.0,161028765.3,4.09231958763,-3.13290988108,-2.48483952078,4.63935315289,20.76518191,0.887833729777,3.74533274581,3.30141588092,18.7753701175,15.0300373717,24.9203113929,40.415741171,-6.07054816315,-0.0149607396738,-0.0157881952878,-0.0114770933697,-0.366754483253,-0.0375495739929,0.0347849613973,-0.310800894639,-0.16086293474,0.0148159957419,0.0287640487802,-0.445362482604,-6.17903134538
2016-09-26,20.033,20.553,19.779,19.119,72354.0,194000.0,143108976.6,3.72958762887,-2.48483952078,-0.444916325396,7.25011375702,20.4364546067,0.394474324308,3.54796233361,3.35072517146,18.9297747148,15.3818123812,31.9552424628,37.5955749349,20.6745775186,-0.0305645960096,-0.0563178677196,-0.0158306970183,-0.555688963961,-0.0526976975322,0.0149358009766,0.282297077229,-0.069778906791,0.00822378447628,0.0234047993898,-0.515152477568,-0.379329810115
2016-09-27,19.862,20.057,19.691,18.802,66205.0,194000.0,130364265.5,3.41262886598,-0.444916325396,-0.782083185212,6.37347011325,20.1879697378,-0.00776054141242,3.34587483308,3.34975510378,19.0468862971,15.7010114641,44.9157127707,40.0356208802,54.6758965517,-0.0241327300151,-0.0165803650819,-0.0121589029839,-1.01967312176,-0.0569587502726,-0.000289509770845,0.405581973693,0.064902477206,0.00618663370814,0.0207517212513,-0.834970978171,0.231941400313
2016-09-28,19.433,19.831,19.537,19.31,45178.0,194000.0,88264258.6,2.3287628866,-0.782083185212,-0.08189588985,2.66673491324,19.9709798252,-0.340200738451,3.13712964225,3.30723001148,19.1222884053,15.985158763,44.467161041,41.5128009338,50.3758812554,-0.0112678865234,0.0270184022976,-0.0107484762171,-42.8372428381,-0.0623888224277,-0.0126949854509,-0.00998652146501,0.0368966440667,0.00395876296818,0.0180973881593,-41.0107600407,0.115999508234
2016-09-29,19.465,20.101,19.521,19.326,52065.0,194000.0,101636086.5,2.6837628866,-0.08189588985,-4.76410019978,3.97008349982,19.8209865501,-0.593078863336,2.93655572189,3.23309515356,19.1836286506,16.2470729287,38.0318708015,40.3524908897,33.3906306252,0.0136150471484,0.000828586224754,-0.00751056164389,-0.743320329156,-0.063935489837,-0.0224159969702,-0.144720060575,-0.0279506566164,0.00320778789874,0.0163848335562,0.982647801775,0.301244056166
2016-09-30,19.306,19.544,18.591,18.543,56391.0,194000.0,104836508.1,2.90675257732,-4.76410019978,5.21219945135,5.38432574902,19.4109910334,-0.898139676362,2.67175785583,3.12082769401,19.0924550121,16.4206971562,26.9529821327,35.8859879707,9.08697045682,-0.0277100641759,-0.0405153678982,-0.020684919778,-0.514368040887,-0.0901729410698,-0.0347244526415,-0.291305382441,-0.110687167521,-0.0047526794965,0.0106864927771,0.308012951198,-1.75411091191
2016-10-10,18.786,19.791,19.56,18.734,50954.0,194000.0,99666024.0,2.62649484536,5.21219945135,2.13190184049,5.40388548057,19.4606606889,-0.975489266283,2.51114690259,2.99889153573,19.1643850102,16.6532381076,44.0172198766,38.596398606,54.8588624177,0.0126381498158,0.0103003828938,0.00255884181496,-0.086122005248,-0.0601143374184,-0.0390717368086,0.633111306934,0.0755283827633,0.00376745673091,0.0141614542414,0.832567347887,1.12370566782
2016-10-11,19.473,20.2,19.977,19.306,57825.0,194000.0,115517002.5,2.98067010309,2.13190184049,0.680782900335,4.47514641838,19.6327737926,-0.974290443239,2.3899600087,2.87710523032,19.2894027009,16.8994426922,54.3634560549,43.8520844223,75.3861993202,0.0206659592744,0.0305327212555,0.00884415521318,0.00122894539702,-0.0482595796201,-0.040610440209,0.235049742064,0.13617036838,0.00652343869481,0.0147841868969,1.01426981865,2.45631182102
2016-10-12,19.977,20.784,20.113,19.922,60530.0,194000.0,121743989.0,3.12010309278,0.680782900335,-0.318202157808,4.28578531298,19.7928491951,-0.957566763037,2.27862600343,2.75740938494,19.4161099777,17.1374839743,43.6282282439,43.7774656962,43.3297533393,0.0289108910891,0.0319071791153,0.00815347867534,0.0171649843419,-0.0465840452864,-0.0416028736516,-0.197471400644,-0.00170160043979,0.00656875066287,0.0140857474647,12.9672473517,-0.0780941221846
2016-10-13,19.962,20.609,20.049,19.93,46491.0,194000.0,93209805.9,2.39644329897,-0.318202157808,1.52626066138,3.38670257868,19.8782327967,-0.955333663262,2.1603258454,2.63799267704,19.5134776735,17.3531518281,34.9274098946,40.8274470956,23.1273354924,-0.00841993841416,0.00040156610782,0.00431386107153,0.00233205647963,-0.0519173211588,-0.0433075728834,-0.19943093496,-0.0673866920715,0.00501478905131,0.0125845692448,-0.864138735394,-0.470917721956
