date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,ema5,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,high_d,low_d,ema5_d,MACD_d,DIFF_d,DEM_d,K_d,D_d,ema_quick_d,ema_slow_d,MACD_d_d,ema5_d_d
2015-06-29,12.038,12.038,11.243,10.357,119716.0,386699.0,134596698.8,1.63770177839,-0.0591439951914,7.33789913724,14.9515253936,11.243,0.000620360797016,-0.11243,-0.11243,11.243,11.35543,50.9022407297,50.3007469099,52.1052283694,-0.000747682287553,-0.000472710072713,-0.00104792496932,0.68442634284,-0.0770298418783,-0.055626782518,0.031535995132,0.00395450652435,-0.00113997170165,-0.00117994526632,0.274393158359,-4.75412345435
2015-06-30,11.044,12.078,12.068,10.327,108927.0,386699.0,131453103.6,1.49010943912,7.33789913724,-7.6648989062,14.50944647,11.518,0.285187145299,0.065811965812,-0.0767816068376,11.3699230769,11.3041111111,67.0777930774,55.8930956324,89.4471879674,0.00332281109819,-0.00289659167713,0.0244596637908,458.711746247,1.58535947534,0.317071895067,0.317776823098,0.111178244182,0.0112890755958,-0.00451932589861,669.213458388,24.3410449287
2015-07-01,12.058,12.476,11.143,10.864,79254.0,386699.0,88312732.2,1.08418604651,-7.6648989062,-9.99730772682,14.466481199,11.393,0.191386378279,0.042834879587,-0.0528583095527,11.3350118343,11.2921769547,50.4877594875,54.0913169174,43.2806446276,0.0329524755754,0.0519996126658,-0.0108525785727,-0.328909519822,-0.349132349132,0.31157588738,-0.247325274562,-0.0322361589492,-0.0030704906592,-0.00105573594078,-1.00071702877,-1.44369287597
2015-07-02,11.044,11.282,10.029,10.029,74257.0,386699.0,74472345.3,1.01582763338,-9.99730772682,-10.0209392761,12.4937680726,10.9383333333,-0.018660872215,-0.0645213546871,-0.0551909185796,11.1340869367,11.1986082914,33.658506325,47.2803800533,6.41475886841,-0.0957037512023,-0.0768593519882,-0.0399075455689,-1.09750365926,-2.50628075319,-0.0441294669962,-0.333333333333,-0.125915530482,-0.0177260421537,-0.00828614922425,-2.33679505493,-2.6772408789
2015-07-03,9.442,10.059,9.024,9.024,77600.0,386699.0,70026240.0,1.06155950752,-10.0209392761,-1.87278368794,11.4694148936,10.3002222222,-0.276603359911,-0.228068018524,-0.0897663385684,10.8094581772,11.0375261958,22.4390042167,38.9999214411,-10.6828302322,-0.108402765467,-0.100209392761,-0.0583371425669,-13.8226383377,-2.53476797922,-0.626469369938,-0.333333333333,-0.175135195675,-0.0291562982526,-0.0143841173357,-11.594617085,-0.461807328295
2015-07-06,9.909,9.909,8.855,8.119,114538.0,386699.0,101423399.0,1.56686730506,-1.87278368794,-10.0056465274,20.2145680407,9.81848148148,-0.443710314052,-0.367085284851,-0.145230127825,10.5087723038,10.8758575887,28.6651089564,35.5549839462,14.8853589767,-0.0149120190874,-0.100288120567,-0.0467699366429,-0.604139277975,-0.609543009263,-0.617868458724,0.27746796068,-0.0883319085683,-0.0278169237061,-0.0146471776579,0.9562934902,0.198282010655
2015-07-07,8.178,8.507,7.969,7.969,35158.0,386699.0,28017410.2,0.480957592339,-10.0056465274,1.99523152215,6.7511607479,9.20198765432,-0.635626517228,-0.542496701092,-0.224683442478,10.1180381032,10.6605348043,19.1100726376,30.0733468433,-2.81647577389,-0.141487536583,-0.0184751816726,-0.0627891215483,-0.432525900565,-0.477849217825,-0.547085620893,-0.333333333333,-0.154173522091,-0.0371817172635,-0.019798234998,0.28406260554,-0.342510297325
2015-07-08,7.173,8.308,8.128,7.173,239434.0,386699.0,194611955.2,3.27543091655,1.99523152215,10.0393700787,13.9640748031,8.84399176955,-0.69820447378,-0.661061238591,-0.311959001701,9.81187839504,10.4729396336,40.787038146,33.6445772776,55.071959883,-0.0233925002939,-0.0998870623667,-0.0389041909446,-0.0984508274212,-0.218553471864,-0.388437876239,1.13432146071,0.118750681554,-0.0302588016635,-0.0175971631943,0.772381660167,0.380399184042
2015-07-09,7.959,8.944,8.944,7.76,80542.0,386699.0,72036764.8,1.10180574555,10.0393700787,10.0178890877,13.2379248658,8.87732784636,-0.590987523674,-0.681326203997,-0.38583244216,9.67835864196,10.359684846,60.5246920974,42.6046155508,96.3648451904,0.0765527202696,0.0818346577443,0.00376934733616,0.153560961197,-0.0306552013998,-0.236804964936,0.483919765898,0.266314485076,-0.0136079706359,-0.010814039958,2.55977319052,1.09688795075
2015-07-10,9.292,9.84,9.84,9.292,69775.0,386699.0,68658600.0,0.954514363885,10.0178890877,10.0101626016,5.56910569106,9.19821856424,-0.37140909892,-0.617963128985,-0.432258579525,9.70322654319,10.3211896722,73.6831280649,52.9641197222,115.12114475,0.100178890877,0.197422680412,0.0361472194597,0.371544941234,0.0929996155148,-0.120327199821,0.217406078603,0.243154504211,0.0025694337395,-0.0037158634019,1.41952732217,8.58978205934
