date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-09-27,9.772,9.961,9.951,9.722,442615.0,607158.0,440446186.5,2.76289013733,-0.803939302583,-0.803939302583,2.40176866647,-1.0,-355835.594413,0,1,1,9.951,-0.401969651291,-177917.797206,0,1,1,9.951,-0.267979767528,-118611.864804,0,1,1,9.878,0.36782074644,162802.979685,0,1,1,9.951,-0.216148289858,-95670.4753153,0,1,1
2016-09-28,9.981,10.021,9.871,9.851,323240.0,607158.0,319070204.0,2.0177278402,-0.803939302583,-0.800324181947,1.72221659406,-1.0,-615700.934579,0,2,2,9.911,-0.401969651291,-307850.46729,0,2,2,9.92433333333,-0.267979767528,-205233.64486,0,2,2,9.91433333333,0.36782074644,281697.357765,1,2,2,9.92949108368,-0.216148289858,-165538.248529,0,2,2
2016-09-29,9.841,9.931,9.792,9.772,338467.0,607158.0,331426886.4,2.11277777778,-0.800324181947,0.102124183007,1.6237745098,-1.0,-886584.259471,-1,3,3,9.8515,-0.600343053173,-511046.779468,0,3,3,9.88022222222,-0.444474299981,-355673.527751,0,3,3,9.83166666667,-0.833809635881,-519.688262912,0,3,1,9.892525031,-0.372285471271,-291544.595133,0,3,3
2016-09-30,9.802,9.851,9.802,9.752,234909.0,607158.0,230257801.8,1.46634831461,0.102124183007,1.92817792287,1.0099979596,-0.918636747944,-862594.369765,0,1,4,9.82675,-0.251230777039,-570063.150072,-1,4,4,9.85414814815,-0.263901696618,-417666.411402,-1,4,4,9.80166666667,-0.305136463807,-72198.9898394,-1,4,2,9.87250223803,-0.20240325809,-339090.942088,-1,4,4
2016-10-10,9.831,10.001,9.991,9.762,492303.0,607158.0,491859927.3,3.07305243446,1.92817792287,0.700630567511,2.39215293764,-0.0851414362142,86653.4061994,0,2,5,9.908875,0.835729005012,-158631.253717,0,1,5,9.8997654321,0.462924681716,-189767.20182,0,1,5,9.918,1.18687298079,512102.13922,0,1,3,9.87256834784,0.000669635756807,-338761.278396,0,1,5
2016-10-11,9.971,10.16,10.061,9.941,547730.0,607158.0,551071153.0,3.41903870162,0.700630567511,0.496968492198,2.17672199583,0.0627984782184,470409.786942,0,3,6,9.9849375,0.767619936673,261817.214197,0,2,6,9.95351028807,0.542890196093,107590.045287,0,2,6,10.054,1.37124420246,1263173.72623,0,2,4,9.87490207688,0.023638519969,-325813.751854,0,2,6
2016-10-12,9.981,10.17,10.111,9.951,638073.0,607158.0,645155610.3,3.98297752809,0.496968492198,-0.791217485906,2.16595786767,0.14543705818,787511.963664,1,4,7,10.04796875,0.631263340406,664609.3076,1,3,7,10.0060068587,0.527417655937,444121.011263,0,3,7,10.0773333333,0.232080100789,1411257.77238,1,3,5,9.88096576715,0.0614050673575,-286632.83631,0,3,7
2016-10-13,10.051,10.141,10.031,9.951,464870.0,607158.0,466311097.0,2.9018102372,-0.791217485906,-0.797527664241,1.89412820257,0.00443122268599,419698.690991,0,5,1,10.039484375,-0.0844387080722,625356.285378,0,4,1,10.0143379058,0.0832604575843,482826.30018,1,4,8,10.041,-0.360545117756,1243651.16349,0,4,1,9.88184840166,0.00893267456217,-282480.303886,0,4,8
2016-10-14,9.991,10.021,9.951,9.802,458804.0,607158.0,456555860.4,2.86394506866,-0.797527664241,-0.602954476937,2.20078384082,-0.106444682889,53789.8085264,0,6,2,9.9952421875,-0.440681870178,423169.680613,0,5,2,9.99322527054,-0.210824075117,386099.37122,0,5,1,9.92466666667,-1.15858314245,712088.583405,0,5,2,9.88185676253,8.46083516759e-05,-282441.485236,0,5,9
2016-10-17,9.921,10.021,9.891,9.861,364750.0,607158.0,360774225.0,2.27684144819,-0.602954476937,1.0110201193,1.61763219088,-0.175272825209,-166137.836936,-1,7,3,9.94312109375,-0.521459037933,232967.496527,-1,6,3,9.95915018036,-0.340981907811,261726.220346,-1,6,2,9.92433333333,-0.00335863505072,710863.52127,-1,6,3,9.88186487735,8.21183975994e-05,-282411.53255,0,6,10
2016-10-18,9.871,10.001,9.991,9.861,374405.0,607158.0,374068035.5,2.33710986267,1.0110201193,-0.900810729657,1.40126113502,0.0551293772773,212393.15083,1,1,4,9.96706054688,0.24076397038,323110.730857,1,1,4,9.96976678691,0.106601530802,301638.366486,1,1,3,9.951,0.268699828704,811466.080636,1,1,4,9.88310837817,0.0125836654024,-277700.145305,0,7,11
