date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-05-03,8.497,8.825,8.781,8.353,65168.0,354460.0,57224020.8,0.880648648649,0.330258512698,0.330258512698,5.37524199977,1.0,21522.2867555,0,1,1,8.781,0.165129256349,10761.1433777,0,1,1,8.781,0.110086170899,7174.09558516,0,1,1,8.653,1.74120728842,113470.996572,0,1,1,8.781,0.146781561199,9565.46078022,0,1,1
2016-05-04,8.895,8.93,8.81,8.671,71361.0,354460.0,62869041.0,0.964337837838,0.330258512698,-1.97502837684,2.93984108967,1.0,45089.8644801,1,2,2,8.7955,0.165129256349,22544.9322401,1,2,2,8.79066666667,0.110086170899,15029.9548267,1,2,2,8.80366666667,1.74120728842,237725.28988,1,2,2,8.79388888889,0.146781561199,20039.9397689,1,2,2
2016-05-05,8.786,8.786,8.636,8.482,63653.0,354460.0,54970730.8,0.860175675676,-1.97502837684,-6.66975451598,3.52014821677,-0.498762552272,-80626.6167912,0,3,1,8.71575,-0.906713660395,-35170.112385,0,3,1,8.73911111111,-0.586480610749,-22301.2954893,0,3,1,8.63466666667,-1.91965468933,115533.50994,0,3,1,8.78614327973,-0.0880794522029,14433.4183979,0,3,1
2016-05-06,8.681,8.696,8.06,8.035,75447.0,354460.0,60810282.0,1.01955405405,-6.66975451598,-2.65508684864,8.20099255583,-0.858034231846,-583839.585758,0,4,2,8.387875,-3.76186788286,-318991.758543,0,4,2,8.51274074074,-2.59031344827,-217732.674221,0,4,2,8.26366666667,-4.29663372452,-208634.614674,0,4,2,8.64912349788,-1.55949860467,-103226.072829,0,4,2
2016-05-09,8.08,8.194,7.846,7.756,55733.0,354460.0,43728111.8,0.753148648649,-2.65508684864,0.25490695896,5.58246240122,-0.889549219725,-731815.541093,-1,5,3,8.1169375,-3.23010893701,-499015.419929,0,5,3,8.29049382716,-2.61075628107,-363237.954034,0,5,3,7.932,-4.01355330564,-432321.981057,0,5,3,8.48426715227,-1.90604684567,-209455.781679,0,5,3
2016-05-10,7.761,7.95,7.866,7.761,33178.0,354460.0,26097814.8,0.448351351351,0.25490695896,-0.826341215357,2.40274599542,-0.850118383577,-723358.238009,1,1,4,7.99146875,-1.54576464338,-550300.799267,0,6,4,8.14899588477,-1.70674926412,-419864.481119,0,6,4,7.859,-0.920322743318,-462856.449035,-1,6,4,8.37010912847,-1.34552603954,-254097.644619,0,6,4
2016-05-11,7.886,8.035,7.801,7.771,27433.0,354460.0,21400483.3,0.370716216216,-0.826341215357,-3.24317395206,3.38418151519,-0.859615149713,-746027.25657,0,2,1,7.896234375,-1.19170052439,-582992.719753,0,7,5,8.03299725652,-1.42347143008,-458914.57286,0,7,5,7.869,0.127242651737,-459365.80137,1,1,5,8.26225724109,-1.28853621522,-289446.058611,0,7,5
2016-05-12,7.707,7.717,7.548,7.448,41205.0,354460.0,31101534.0,0.556824324324,-3.24317395206,0.914149443561,3.56385797562,-0.88757326041,-879662.239264,-1,3,2,7.7221171875,-2.20506610152,-673852.468466,0,8,6,7.87133150434,-2.01252094342,-541840.498334,0,8,6,7.571,-3.78701232685,-615409.644298,-1,2,1,8.11639924779,-1.76535284547,-362187.422609,0,8,6
2016-05-13,7.543,7.687,7.617,7.483,36588.0,354460.0,27869079.6,0.494432432432,0.914149443561,0.0656426414599,2.67821977156,-0.787246018963,-846215.339423,0,1,3,7.66955859375,-0.680624140684,-698755.144525,0,9,7,7.78655433623,-1.0770371959,-581247.135258,0,9,7,7.59566666667,0.325804605292,-603489.105399,1,1,2,8.03948637495,-0.947623083721,-396859.055996,0,9,7
2016-05-16,7.647,7.667,7.622,7.448,31252.0,354460.0,23820274.4,0.422324324324,0.0656426414599,-0.524796641301,2.87326161113,-0.780450637491,-844163.875592,1,2,4,7.64577929688,-0.310047789378,-708444.758039,0,10,8,7.73170289082,-0.704437971421,-603262.23074,0,10,8,7.579,-0.219423355422,-610346.524103,-1,2,1,7.97650172445,-0.783441224547,-421343.161146,0,10,8
