date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-09-19,13.587,13.747,13.727,13.587,18591.0,336779.0,25519865.7,0.605570032573,0.145698258906,0.145698258906,1.16558607125,1.0,2708.67633132,0,1,1,13.727,0.0728491294529,1354.33816566,0,1,1,13.727,0.0485660863019,902.892110439,0,1,1,13.687,0.314166727552,5840.67363191,0,1,1,13.727,0.0647547817359,1203.85614725,0,1,1
2016-09-20,13.796,13.806,13.747,13.637,21597.0,336779.0,29689395.9,0.70348534202,0.145698258906,0.21095511748,1.2293591329,1.0,5855.32162891,0,2,2,13.737,0.0728491294529,2927.66081445,0,2,2,13.7336666667,0.0485660863019,1951.7738763,0,2,2,13.73,0.314166727552,12625.7324468,0,2,2,13.7358888889,0.0647547817359,2602.3651684,0,2,2
2016-09-21,13.747,13.866,13.776,13.747,17940.0,336779.0,24714144.0,0.584364820847,0.21095511748,1.30662020906,0.863821138211,1.0,9639.8564365,0,3,3,13.7565,0.141952391352,5474.2867153,0,3,3,13.7477777778,0.10274831517,3795.07865046,0,3,3,13.7963333333,0.483126972566,21293.0303347,0,3,3,13.7537160494,0.129785270091,4930.71291383,0,3,3
2016-09-22,13.836,14.065,13.956,13.816,36783.0,336779.0,51334354.8,1.19814332248,1.30662020906,4.06276870163,1.78417884781,1.0,57701.2675863,0,4,4,13.85625,0.725111765347,32146.0727801,0,4,4,13.8171851852,0.504862738759,22365.4447702,0,4,4,13.9456666667,1.08241320158,61107.4351282,0,4,4,13.8436200274,0.653670453347,28974.6731993,0,4,4
2016-09-23,14.135,14.613,14.523,14.015,139511.0,336779.0,202611825.3,4.54433224756,4.06276870163,-2.12765957447,4.11760655512,1.0,624502.19192,1,5,5,14.189625,2.40595399188,367803.120141,0,5,5,14.0524567901,1.70274626695,259917.279219,0,5,5,14.3836666667,3.14076057079,499278.083119,1,5,5,14.1455666819,2.18112497941,333265.600202,0,5,5
2016-09-26,14.523,14.563,14.214,14.195,73321.0,336779.0,104218469.4,2.38830618893,-2.12765957447,1.54073448713,2.58899676375,0.468045217784,468500.06426,-1,6,1,14.2018125,0.0858902190861,374100.676895,0,6,6,14.1063045267,0.383190906969,288013.219709,0,6,6,14.324,-0.414822367964,468862.892278,-1,6,1,14.1540186072,0.0597496411051,337646.503638,0,6,6
2016-09-27,14.145,14.523,14.433,14.085,46192.0,336779.0,66668913.6,1.50462540717,1.54073448713,-0.824499411072,3.03471211806,0.553956068339,539669.67169,1,1,2,14.31740625,0.813936601402,411698.036387,1,7,7,14.2152030178,0.77198454689,323672.729898,0,7,7,14.347,0.160569673276,476279.926626,1,1,2,14.1991803844,0.319073885862,352385.164573,0,7,7
2016-09-28,14.423,14.523,14.314,14.125,31645.0,336779.0,45296653.0,1.03078175896,-0.824499411072,-0.558893391086,2.78049462065,0.430339946355,513578.387826,0,2,1,14.315703125,-0.0118954856086,411321.603745,0,8,1,14.2481353452,0.231669764743,331003.919604,1,8,8,14.3206666667,-0.183545921331,470471.615945,0,2,1,14.2116154006,0.0875755910513,355156.494152,0,8,8
2016-09-29,14.523,14.523,14.234,14.185,25139.0,336779.0,35782852.6,0.818859934853,-0.558893391086,0.98356048897,2.37459603766,0.357157766914,499528.366868,-1,3,2,14.2748515625,-0.285361900448,404147.89093,-1,9,2,14.2434235635,-0.0330694622589,330172.586392,-1,9,1,14.314,-0.046552767562,469301.325921,-1,3,2,14.2134428278,0.0128586878147,355479.748705,0,9,9
2016-09-30,14.244,14.433,14.374,14.195,28801.0,336779.0,41398557.4,0.938143322476,0.98356048897,2.42103798525,1.65576735773,0.410258426494,527855.892511,0,1,3,14.3244257812,0.347283602446,414150.005964,0,1,3,14.2869490423,0.305582984636,338973.681933,0,1,2,14.334,0.139723347771,473325.498061,0,1,3,14.2295964222,0.113650116881,358752.985722,0,10,10
