date,open,high,close,low,volume,nmc,amount,turnover_rate,p_change,review_pc,amplitude,efficiency_coefficient,PVT,stationary_info,dist2last_min,dist2last_max,ema3,ema3_p_change,ema3_PVT,ema3_stationary_info,ema3_dist2last_min,ema3_dist2last_max,ema5,ema5_p_change,ema5_PVT,ema5_stationary_info,ema5_dist2last_min,ema5_dist2last_max,pseudo_mean_price,pseudo_mean_price_p_change,pseudo_mean_price_PVT,pseudo_mean_price_stationary_info,pseudo_mean_price_dist2last_min,pseudo_mean_price_dist2last_max,close_ama,close_ama_p_change,close_ama_PVT,close_ama_stationary_info,close_ama_dist2last_min,close_ama_dist2last_max
2016-09-23,7.149,7.178,7.012,7.012,329303.0,4106192.0,230907263.6,1.51892527675,-0.142612664005,-0.142612664005,2.36737022248,-1.0,-46962.7780947,0,1,1,7.012,-0.0713063320023,-23481.3890473,0,1,1,7.012,-0.0475375546682,-15654.2593649,0,1,1,7.06733333333,-0.504669370814,-166189.137817,0,1,1,7.012,-0.0383430482097,-12626.4808046,0,1,1
2016-09-26,6.963,7.149,7.002,6.944,317689.0,4106192.0,222445837.8,1.46535516605,-0.142612664005,1.39960011425,2.92773493288,-1.0,-92269.2527096,-1,2,2,7.007,-0.0713063320023,-46134.6263548,-1,2,2,7.00866666667,-0.0475375546682,-30756.4175699,-1,2,2,7.03166666667,-0.504669370814,-326517.045562,-1,2,2,7.00931138546,-0.0383430482097,-24807.6454473,-1,2,2
2016-09-27,6.993,7.11,7.1,6.954,239955.0,4106192.0,170368050.0,1.10680350554,1.39960011425,-1.0985915493,2.19718309859,0.661418541227,243571.792706,1,1,3,7.0535,0.663622092194,113104.812777,1,1,3,7.03911111111,0.43438282761,73475.9138293,1,1,3,7.05466666667,0.327091727898,-248029.749994,1,1,3,7.02900714315,0.28099418909,42618.3151958,1,1,3
2016-09-28,7.09,7.09,7.022,7.002,161224.0,4106192.0,113211492.8,0.743653136531,-1.0985915493,-0.284819139846,1.25320421532,0.00567045361728,66452.4687623,0,2,1,7.03775,-0.223293400439,77104.557585,0,2,1,7.03340740741,-0.0810287494212,60412.1347327,0,2,1,7.038,-0.23625023625,-286118.958083,0,2,1,7.02896512777,-0.000597742642999,42521.9447359,0,2,1
2016-09-29,7.012,7.08,7.002,6.983,184140.0,4106192.0,128934828.0,0.849354243542,-0.284819139846,0.142816338189,1.38531848043,-0.0876842235656,14005.872351,-1,3,2,7.019875,-0.253987424958,30335.3131532,0,3,2,7.0229382716,-0.148848704419,33003.1343009,0,3,2,7.02166666667,-0.232073505731,-328852.973429,0,3,2,7.02895194218,-0.000187589487025,42487.4020078,0,3,2
2016-09-30,7.012,7.041,7.012,6.983,128669.0,4106192.0,90222702.8,0.593491697417,0.142816338189,2.63833428408,0.827153451226,-0.0393078487207,32381.9077695,0,1,3,7.0159375,-0.0560907423565,23118.1734249,-1,4,3,7.01929218107,-0.0519168814244,26323.0410849,-1,4,3,7.012,-0.137669119392,-346566.721352,-1,4,3,7.02890822884,-0.000621904095616,42407.3822297,-1,4,3
2016-10-10,7.022,7.207,7.197,7.012,309127.0,4106192.0,222478701.9,1.42586254613,2.63833428408,-0.402945671808,2.70946227595,0.429466339834,847962.270006,1,2,4,7.10646875,1.29036568527,422005.046615,0,1,4,7.07852812071,0.843901893742,287195.901792,0,1,4,7.13866666667,1.80642707739,211848.661801,0,1,4,7.04705541369,0.258179282829,122217.569393,0,1,4
2016-10-11,7.197,7.207,7.168,7.119,207907.0,4106192.0,149027737.6,0.958980627306,-0.402945671808,-1.89732142857,1.22767857143,0.337341155913,764187.044217,0,3,1,7.137234375,0.432924228366,512013.024162,1,2,5,7.10835208048,0.421329960885,374793.349969,1,2,5,7.16466666667,0.364213672021,287571.23371,1,2,5,7.05613412025,0.12882978818,149002.184164,1,2,5
2016-10-12,7.129,7.129,7.032,6.983,297742.0,4106192.0,209372174.4,1.37334870849,-1.89732142857,0.127986348123,2.07622298066,0.0259946769262,199274.767431,-1,4,2,7.0846171875,-0.737220956121,292511.382245,0,3,1,7.08290138698,-0.358039292423,268190.014965,0,3,1,7.048,-1.62836140318,-197260.347196,0,3,1,7.05594089353,-0.00273842188331,148186.840956,0,3,1
2016-10-13,7.032,7.09,7.041,7.002,162396.0,4106192.0,114343023.6,0.74905904059,0.127986348123,-0.12782275245,1.2498224684,0.0410544501596,220059.238421,1,1,3,7.06280859375,-0.307830235182,242520.983372,0,4,2,7.06893425799,-0.197195022653,236166.332066,0,4,2,7.04433333333,-0.0520242149073,-205708.8716,0,4,2,7.05579621968,-0.0020503835634,147853.866866,0,4,2
2016-10-14,7.051,7.051,7.032,6.973,177078.0,4106192.0,124521249.6,0.816780442804,-0.12782275245,-1.25142207053,1.10921501706,0.0429178632313,197424.641063,0,2,1,7.04740429688,-0.218104408049,203899.491004,0,5,3,7.05662283866,-0.17416231189,205326.018201,0,5,3,7.01866666667,-0.364359059291,-270228.845102,0,5,3,7.05556059857,-0.00333939794502,147262.532957,0,5,3
2016-10-17,6.983,7.022,6.944,6.944,207517.0,4106192.0,144099804.8,0.957181734317,-1.25142207053,1.26728110599,1.1232718894,-0.0804751295104,-62266.7127483,-1,3,2,6.99570214844,-0.733633920512,51657.9807209,-1,6,4,7.01908189244,-0.531995928904,94927.8190228,-1,6,4,6.97,-0.693389057751,-414118.862199,-1,6,4,7.05548293298,-0.00110077124534,147034.104211,0,6,4
2016-10-18,6.944,7.032,7.032,6.934,204139.0,4106192.0,143550544.8,0.941600553506,1.26728110599,5.81626848692,1.393629124,-0.0959488957025,196434.784948,0,1,3,7.01385107422,0.259429652609,104617.690575,0,1,5,7.02338792829,0.061347565386,107451.249673,0,1,5,6.99933333333,0.420851267336,-328206.705336,0,1,5,7.05547597329,-9.86423297896e-05,147013.967464,-1,7,5
2016-10-19,7.041,7.451,7.441,7.012,987606.0,4106192.0,734877624.6,4.55537822878,5.81626848692,1.5723693052,5.89974465798,0.431922897958,5940616.44024,0,2,4,7.22742553711,3.04503846219,3111915.94606,0,2,6,7.1625919522,1.98200676545,2064893.02327,0,2,6,7.30133333333,4.31469663778,3933013.58231,0,2,6,7.0974667623,0.595151753943,734789.410568,0,1,6
2016-10-20,7.47,7.685,7.558,7.363,919007.0,4106192.0,694585490.6,4.23896217712,1.5723693052,-1.93172797036,4.26038634559,0.517269105481,7385634.8383,1,3,5,7.39271276855,2.28694478548,5213634.21253,0,3,7,7.2943946348,1.84015344559,3756006.92084,0,3,7,7.53533333333,3.20489408327,6878333.6791,1,3,7,7.16417930298,0.939948617214,1598608.76943,0,2,7
2016-10-21,7.48,7.49,7.412,7.246,523319.0,4106192.0,387884042.8,2.41383302583,-1.93172797036,0.661090124123,3.29195898543,0.341151651517,6374724.88858,-1,4,1,7.40235638428,0.130447591088,5281899.91545,0,4,8,7.3335964232,0.537423465054,4037250.83114,0,4,8,7.38266666667,-2.02601079359,5818083.7366,-1,4,1,7.18308986628,0.263959938703,1736744.02059,0,3,8
