,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
0,2016-09-27,0.0,3214.87,3240.75,3240.78,3214.44,58460550.0,3243.99075,3240.75,-3.24075,-3.24075,-0.48551338688,hs300,-3.24075
1,2016-09-28,4.4122290564,3243.65,3230.89,3243.65,3228.0,44727498.0,3240.01962963,3239.23307692,-2.74991054131,-0.786552706553,3.92671566951,hs300,-0.786552706553
2,2016-09-29,-0.0339165058717,3234.86,3244.39,3257.77,3234.8,55452556.0,3240.34336077,3240.0264497,-2.26331064585,-0.316911064033,3.89279916364,hs300,-0.316911064033
3,2016-09-30,0.950621231426,3240.18,3253.28,3260.94,3239.04,44978022.0,3241.30163034,3242.06545744,-1.65788309647,0.763827101063,4.84342039507,hs300,0.763827101063
4,2016-10-10,5.55287802696,3265.36,3293.87,3294.64,3258.96,80519260.0,3245.19558365,3250.03538707,-0.358345793718,4.83980341729,10.396298422,hs300,4.83980341729
5,2016-10-11,4.56167147591,3296.87,3306.56,3308.0,3292.88,87713163.0,3249.74109597,3258.73148136,1.51140044352,8.99038539249,14.9579698979,hs300,8.99038539249
6,2016-10-12,1.21147611322,3299.14,3300.01,3302.56,3289.75,68669781.0,3253.46471849,3265.08202269,3.53258119492,11.6173042005,16.1694460112,hs300,11.6173042005
7,2016-10-13,0.184246206996,3299.16,3302.65,3307.41,3292.4,81224198.0,3257.10807268,3270.86171151,5.57679272219,13.7536388313,16.3536922182,hs300,13.7536388313
8,2016-10-14,-0.4350576772,3298.73,3305.85,3306.69,3285.73,82316271.0,3260.71858581,3276.24452512,7.56662203981,15.5259393103,15.918634541,hs300,15.5259393103
9,2016-10-17,-4.81509386209,3305.96,3277.88,3309.01,3271.54,86113509.0,3261.98980168,3276.49613664,8.95456462467,14.5063349641,11.1035406789,hs300,14.5063349641
10,2016-10-18,1.78240737394,3272.68,3321.33,3321.33,3272.68,102860714.0,3266.38537192,3283.39365408,10.5653081313,17.0082821577,12.8859480528,hs300,17.0082821577
11,2016-10-19,-0.400631891583,3323.3,3316.24,3332.52,3309.83,101167725.0,3270.07830734,3288.44693807,12.1259726514,18.368630732,12.4853161612,hs300,18.368630732
12,2016-10-20,-0.825490195111,3317.18,3318.6,3324.9,3312.17,79238871.0,3273.67250679,3293.08587067,13.5834508972,19.4133638802,11.6598259661,hs300,19.4133638802
13,2016-10-21,-0.209717169353,3315.72,3327.74,3341.56,3309.18,109785176.0,3277.67750629,3298.41727519,15.0147144968,20.7397688952,11.4501087968,hs300,20.7397688952
14,2016-10-24,4.07953859858,3332.51,3367.58,3382.83,3330.97,153014345.0,3284.33695027,3309.05769439,16.9559204212,24.7207441189,15.5296473953,hs300,24.7207441189
15,2016-10-25,1.41712560946,3367.48,3367.45,3373.91,3356.59,111191693.0,3290.49347247,3318.04112602,19.0742670468,27.5476535492,16.9467730048,hs300,27.5476535492
16,2016-10-26,-1.96253076441,3365.2,3354.8,3367.83,3349.57,98024786.0,3295.25691896,3323.6963374,20.9472973268,28.439418447,14.9842422404,hs300,28.439418447
17,2016-10-27,-3.55900150509,3351.46,3345.7,3352.35,3335.13,77629851.0,3298.99344348,3327.08151626,22.3754524188,28.0880727864,11.4252407353,hs300,28.0880727864
18,2016-10-28,-3.94855742487,3347.14,3340.13,3370.75,3337.29,93133309.0,3302.04059581,3329.0889753,23.3100378326,27.0483794878,7.47668331044,hs300,27.0483794878
19,2016-10-31,-3.78324173365,3332.41,3336.28,3340.47,3317.33,71352863.0,3304.57684797,3330.19528679,23.7717180297,25.6184388181,3.69344157678,hs300,25.6184388181
20,2016-11-01,-0.092066956712,3338.71,3359.05,3359.39,3334.46,74938199.0,3308.61189627,3334.63447344,24.2218898572,26.0225771672,3.60137462007,hs300,26.0225771672
21,2016-11-02,-3.96837640619,3350.71,3333.35,3356.4,3331.38,91197104.0,3310.4443484,3334.43686214,24.1760146339,23.9925137408,-0.367001786115,hs300,23.9925137408
22,2016-11-03,1.14099011352,3326.9,3365.08,3379.99,3324.84,126223504.0,3314.4914337,3339.15119104,24.2727631748,24.6597573385,0.773988327409,hs300,24.6597573385
23,2016-11-04,-1.16050497028,3362.21,3354.17,3377.64,3348.43,104069655.0,3317.43058676,3341.46177704,24.2244485945,24.031190273,-0.386516642871,hs300,24.031190273
24,2016-11-07,-0.839942046261,3353.44,3356.59,3362.74,3342.31,99877988.0,3320.33128404,3343.78919595,24.0711412583,23.4579119138,-1.22645868913,hs300,23.4579119138
25,2016-11-08,0.953470899285,3367.7,3371.12,3383.92,3361.13,103148282.0,3324.09341115,3347.99393504,24.0370177846,23.9005238897,-0.272987789847,hs300,23.9005238897
26,2016-11-09,-2.13272461722,3370.6,3353.05,3373.1,3322.08,139110059.0,3326.23834366,3348.77179119,23.7363037337,22.5334475302,-2.40571240707,hs300,22.5334475302
27,2016-11-10,3.15054515272,3374.91,3390.61,3403.02,3374.91,134705535.0,3331.0066145,3355.2084387,23.8294078269,24.2018241997,0.744832745652,hs300,24.2018241997
28,2016-11-11,4.89753504555,3387.95,3417.22,3422.67,3382.89,198781496.0,3337.3927912,3364.7486789,24.5347038008,27.3558876964,5.6423677912,hs300,27.3558876964
29,2016-11-14,3.98962973885,3409.22,3430.25,3452.62,3408.14,213247105.0,3344.27110296,3374.82580522,25.7387034921,30.5547022571,9.63199753005,hs300,30.5547022571
30,2016-11-15,1.47788628389,3428.87,3429.87,3434.92,3415.99,134566320.0,3350.611762,3383.29414288,27.1274389688,32.6823808758,11.1098838139,hs300,32.6823808758
31,2016-11-16,-0.186457233963,3432.43,3429.59,3435.64,3419.24,129808511.0,3356.46200185,3390.41658244,28.4928672913,33.9545805813,10.92342658,hs300,33.9545805813
32,2016-11-17,-0.323230744182,3423.47,3436.53,3437.67,3412.88,121561731.0,3362.39296468,3397.51095437,29.8178917708,35.1179896887,10.6001958358,hs300,35.1179896887
33,2016-11-18,-3.73596830323,3437.49,3417.46,3443.12,3413.27,115951205.0,3366.47200433,3400.58003831,30.6759202124,34.1080339786,6.86422753257,hs300,34.1080339786
34,2016-11-21,-0.242224224125,3412.65,3441.11,3463.14,3412.08,146434529.0,3372.00074475,3406.81541703,31.5036706259,34.8146722801,6.62200330844,hs300,34.8146722801
35,2016-11-22,2.40467896812,3443.22,3468.36,3469.22,3443.22,168523446.0,3379.13846736,3416.28381441,32.6320059105,37.1453470488,9.02668227657,hs300,37.1453470488
36,2016-11-23,1.25205008909,3473.9,3474.73,3492.96,3465.76,162388504.0,3386.21932163,3425.27553527,33.9168474562,39.056213639,10.2787323657,hs300,39.056213639
37,2016-11-24,1.41567669616,3468.81,3488.74,3508.16,3467.01,145746301.0,3393.81344596,3435.03929908,35.3786485889,41.2258531198,11.6944090618,hs300,41.2258531198
38,2016-11-25,3.78500397564,3490.04,3521.3,3521.3,3463.95,153621506.0,3403.2568944,3448.31017614,37.3135752186,45.0532817373,15.4794130375,hs300,45.0532817373
39,2016-11-28,2.63936408363,3538.68,3535.08,3553.36,3528.32,207375483.0,3413.02156889,3461.65937981,39.5784223587,48.6378109193,18.1187771211,hs300,48.6378109193
40,2016-11-29,3.67914728283,3525.9,3564.04,3583.72,3521.38,236918356.0,3424.20811935,3477.41024446,42.3031629092,53.2021251112,21.7979244039,hs300,53.2021251112
41,2016-11-30,-2.93162863085,3557.64,3538.0,3567.07,3527.02,178560178.0,3432.63714754,3486.73174531,44.6614498809,54.0945977674,18.8662957731,hs300,54.0945977674
