,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
0,2016-09-27,0.0,2974.59,2998.17,2998.23,2969.13,121701450.0,3001.16817,2998.17,-2.99817,-2.99817,-0.524387576933,sh,-2.99817
1,2016-09-28,4.00553934901,3000.7,2987.86,3000.7,2984.32,104625697.0,2997.4062963,2996.58384615,-2.56302602849,-0.82245014245,3.48115177208,sh,-0.82245014245
2,2016-09-29,-0.356738564577,2992.17,2998.48,3009.2,2991.91,113213919.0,2997.4858299,2996.87556213,-2.17247437755,-0.6102677738,3.1244132075,sh,-0.6102677738
3,2016-09-30,0.446120082027,2994.25,3004.7,3009.2,2993.06,101333562.0,2998.02021287,2998.0793218,-1.72615771636,0.0591089284044,3.57053328953,sh,0.0591089284044
4,2016-10-10,5.66839890286,3020.46,3048.14,3048.24,3014.62,160051104.0,3001.7327897,3005.7809646,-0.571291192312,4.04817490388,9.23893219239,sh,4.04817490388
5,2016-10-11,5.26277968638,3051.62,3065.25,3066.1,3048.02,167273496.0,3006.43776824,3014.93004697,1.24142279253,8.49227873192,14.5017118788,sh,8.49227873192
6,2016-10-12,1.65423056001,3057.32,3058.5,3060.51,3048.89,142493577.0,3010.29422985,3021.63311667,3.26091559738,11.3388868168,16.1559424388,sh,11.3388868168
7,2016-10-13,0.494220861837,3057.97,3061.35,3065.0,3052.64,154756725.0,3014.07613875,3027.74340641,5.34218600996,13.6672676603,16.6501633006,sh,13.6672676603
8,2016-10-14,-0.346485486013,3056.99,3063.81,3064.79,3043.18,155373705.0,3017.76012847,3033.29211312,7.38014573678,15.5319846441,16.3036778146,sh,15.5319846441
9,2016-10-17,-4.09606669922,3064.69,3041.17,3068.81,3033.75,163733265.0,3019.49419303,3034.50409571,8.9060971262,15.0099026839,12.2076111154,sh,15.0099026839
10,2016-10-18,2.08163606849,3037.4,3083.88,3084.19,3037.4,182042460.0,3024.26351207,3042.10038868,10.6922530242,17.8368766161,14.2892471839,sh,17.8368766161
11,2016-10-19,0.467918426011,3085.75,3084.72,3096.22,3076.77,182470143.0,3028.74177043,3048.65725196,12.5368987254,19.9154815304,14.7571656099,sh,19.9154815304
12,2016-10-20,-0.742091012371,3084.91,3084.46,3089.68,3076.29,160691364.0,3032.8690467,3054.16536704,14.2887830501,21.2963203489,14.0150745975,sh,21.2963203489
13,2016-10-21,-0.633280931158,3081.39,3090.94,3101.85,3069.27,187388072.0,3037.17059879,3059.82300288,15.9615072584,22.6524040916,13.3817936664,sh,22.6524040916
14,2016-10-24,3.37261408898,3092.05,3128.25,3137.03,3090.79,240522349.0,3043.9172211,3070.35023321,18.0558082278,26.4330121055,16.7544077553,sh,26.4330121055
15,2016-10-25,1.37734707755,3127.97,3131.94,3132.5,3121.05,203380898.0,3050.43742695,3079.82558195,20.3222775819,29.3881549984,18.1317548329,sh,29.3881549984
16,2016-10-26,-2.45269090709,3129.84,3116.31,3129.84,3110.39,191663263.0,3055.3168768,3085.43856934,22.2821605727,30.1216925355,15.6790639258,sh,30.1216925355
17,2016-10-27,-3.2709418902,3112.6,3112.35,3114.76,3100.39,158008789.0,3059.5415526,3089.57878944,23.8331758271,30.0372368449,12.4081220356,sh,30.0372368449
18,2016-10-28,-4.16647574528,3111.7,3104.27,3128.64,3101.24,181774123.0,3062.85477092,3091.83897568,24.8633816134,28.9842047585,8.24164629031,sh,28.9842047585
19,2016-10-31,-3.9793179431,3097.19,3100.49,3102.3,3081.07,151506764.0,3065.64256567,3093.1699025,25.3961726568,27.5273368304,4.26232834721,sh,27.5273368304
20,2016-11-01,-0.379066364884,3101.66,3122.44,3122.61,3097.04,160232032.0,3069.84978303,3097.67299442,25.8815804046,27.8232113957,3.88326198233,sh,27.8232113957
21,2016-11-02,-3.42876562775,3115.73,3102.73,3118.98,3099.82,182722067.0,3072.28535465,3098.45099528,25.9383924489,26.1656406262,0.45449635458,sh,26.1656406262
22,2016-11-03,0.699461872647,3096.76,3128.94,3140.93,3094.1,222986260.0,3076.48199505,3103.14161139,26.0826372273,26.6596163409,1.15395822723,sh,26.6596163409
23,2016-11-04,-0.559703981918,3126.35,3125.32,3141.33,3119.54,197683197.0,3080.09962505,3106.55367118,26.156919008,26.4540461306,0.594254245308,sh,26.4540461306
24,2016-11-07,0.163460296904,3124.89,3133.33,3139.2,3117.1,179418490.0,3084.04261578,3110.67310638,26.2516333257,26.6304905969,0.757714542212,sh,26.6304905969
25,2016-11-08,1.44244120928,3140.94,3147.89,3156.88,3134.95,190846979.0,3088.77205165,3116.39878232,26.5266527947,27.6267306704,2.20015575149,sh,27.6267306704
26,2016-11-09,-2.18636005035,3146.08,3128.37,3146.95,3096.95,241114958.0,3091.70523301,3118.24050812,26.5283772573,26.5352751079,0.0137957011433,sh,26.5352751079
27,2016-11-10,3.62203228939,3148.54,3171.28,3172.31,3148.54,244192602.0,3097.5996602,3126.40042995,26.9828557561,28.8007697514,3.63582799053,sh,28.8007697514
28,2016-11-11,4.74787917892,3169.4,3196.04,3202.74,3166.07,310854579.0,3104.89153722,3137.11420995,28.0308191523,32.2226727371,8.38370716945,sh,32.2226727371
29,2016-11-14,3.85430189421,3187.71,3210.37,3221.46,3186.8,329608313.0,3112.70475668,3148.3843315,29.5605702853,35.6795748171,12.2380090637,sh,35.6795748171
30,2016-11-15,0.803861538831,3209.95,3206.99,3214.29,3195.04,240886350.0,3119.68884878,3157.40058819,31.1908041106,37.7117394118,13.0418706025,sh,37.7117394118
31,2016-11-16,-0.994888965386,3208.5,3205.06,3210.89,3195.41,221766993.0,3126.01263776,3164.73280539,32.6966768152,38.7201676338,12.0469816371,sh,38.7201676338
32,2016-11-17,-1.41859477529,3198.5,3208.45,3211.05,3187.21,214206240.0,3132.11910904,3171.45852764,34.025225173,39.3394186039,10.6283868618,sh,39.3394186039
33,2016-11-18,-4.05654304823,3207.19,3192.86,3212.39,3187.5,209826639.0,3136.61843429,3174.75106185,34.8467056497,38.1326275565,6.5718438136,sh,38.1326275565
34,2016-11-21,-0.294553598114,3188.5,3218.15,3229.76,3188.28,230652844.0,3142.65780953,3181.42782157,35.6313669266,38.7700120343,6.27729021549,sh,38.7700120343
35,2016-11-22,2.69121173823,3220.98,3248.35,3249.68,3220.98,261631547.0,3150.48686068,3191.72354132,36.7524296708,41.2366806477,8.96850195372,sh,41.2366806477
36,2016-11-23,-0.373724796097,3247.94,3241.14,3262.88,3231.59,249959592.0,3157.20190803,3199.32607343,37.8267768155,42.1241653943,8.59477715762,sh,42.1241653943
